일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2007년 09월 16일 09시,0,19.9,131.4,992,18,65,200,약,소형,서,7,null
2007년 09월 16일 09시,24,21.2,128.7,985,27,97,250,중,소형,서북서,13,150
2007년 09월 16일 09시,48,22.9,126,975,31,112,250,중,소형,서북서,14,250
2007년 09월 16일 09시,72,25.2,123.4,970,33,119,300,강,중형,북서,15,400
2007년 09월 16일 21시,0,21.3,130.3,985,26,94,350,중,중형,북서,24,null
2007년 09월 16일 21시,24,23.4,126.4,970,35,126,400,강,중형,서북서,19,150
2007년 09월 16일 21시,48,25.7,124,960,39,140,450,강,중형,북서,15,250
2007년 09월 16일 21시,72,28.7,122.7,965,37,133,450,강,중형,북북서,15,400
2007년 09월 17일 09시,0,22.4,127.6,975,31,112,330,중,중형,서북서,19,null
2007년 09월 17일 09시,24,24.8,123.8,960,39,140,380,강,중형,서북서,20,150
2007년 09월 17일 09시,48,28.3,121.9,965,37,133,350,강,중형,북북서,18,250
2007년 09월 17일 09시,72,32.2,121.1,970,33,119,330,강,중형,북북서,18,400
2007년 09월 17일 21시,0,23.4,125.7,945,43,155,330,강,중형,서북서,20,null
2007년 09월 17일 21시,24,26.2,122.7,950,41,148,330,강,중형,북서,18,150
2007년 09월 17일 21시,48,29.7,120.7,965,37,133,300,강,중형,북북서,18,250
2007년 09월 17일 21시,72,34.1,121.2,985,27,97,220,중,소형,북,20,400
2007년 09월 18일 09시,0,24.4,123.7,930,51,184,400,매우강,중형,서북서,17,null
2007년 09월 18일 09시,24,28.6,120.5,950,43,155,350,강,중형,북서,24,150
2007년 09월 18일 09시,48,34.5,121,980,30,108,250,중,소형,북,28,250
2007년 09월 18일 09시,72,40,127,1000,null,null,null,null,null,북동,34,0
2007년 09월 18일 15시,0,25.7,122.6,930,51,184,420,매우강,중형,북서,30,null
2007년 09월 18일 15시,12,28.3,120.6,945,44,158,400,매우강,중형,북서,29,80
2007년 09월 18일 15시,24,31.3,120.6,965,37,133,350,강,중형,북,28,150
2007년 09월 18일 15시,48,37.4,123.9,990,24,86,250,약,소형,북북동,31,250
2007년 09월 18일 15시,72,44,135,1000,null,null,null,null,null,동북동,50,0
2007년 09월 18일 21시,0,26.2,121.4,930,49,176,450,매우강,중형,서북서,20,null
2007년 09월 18일 21시,12,28.6,120,970,35,126,380,강,중형,북북서,25,100
2007년 09월 18일 21시,24,32.9,120.3,985,27,97,300,중,중형,북,40,200
2007년 09월 18일 21시,48,39.5,126.5,1000,null,null,null,null,null,북동,38,0
2007년 09월 19일 03시,0,27.1,120.6,950,43,155,400,강,중형,북서,20,null
2007년 09월 19일 03시,12,30.4,120,975,33,119,350,강,중형,북,31,80
2007년 09월 19일 03시,24,34.3,120.4,990,23,83,250,약,소형,북,37,150
2007년 09월 19일 03시,48,42.5,130,1000,null,null,null,null,null,북동,52,0
2007년 09월 19일 09시,0,27.8,119.5,975,33,119,350,강,중형,북서,20,null
2007년 09월 19일 09시,12,30.9,118.9,985,27,97,300,중,중형,북,29,80
2007년 09월 19일 09시,24,35.2,120.6,994,21,76,200,약,소형,북북동,42,150
2007년 09월 19일 09시,48,43,131.3,1002,null,null,null,null,null,북동,53,0
2007년 09월 19일 15시,0,29,119,985,26,94,300,중,중형,북북서,22,null
2007년 09월 19일 15시,12,32.3,119.2,990,23,83,250,약,소형,북,31,80
2007년 09월 19일 15시,24,36.3,121.5,996,18,65,180,약,소형,북북동,41,150
2007년 09월 19일 15시,36,39.6,126,1000,null,null,null,null,null,북동,45,0
2007년 09월 19일 21시,0,30.3,118.9,992,21,76,200,약,소형,북,24,null
2007년 09월 19일 21시,12,34,119.8,996,18,65,150,약,소형,북북동,35,80
2007년 09월 19일 21시,24,38.2,123.3,1000,null,null,null,null,null,북동,47,0
2007년 09월 20일 00시,0,31.1,119,994,20,72,200,약,소형,북,30,null
2007년 09월 20일 00시,12,35,120.3,998,17,61,150,약,소형,북북동,38,140
2007년 09월 20일 00시,24,39.2,124.9,1002,null,null,null,null,null,북동,52,0
2007년 09월 20일 03시,0,31.9,119.2,996,18,65,180,약,소형,북,31,null
2007년 09월 20일 03시,12,36.2,122,1000,null,null,null,null,null,북북동,45,0
2007년 09월 20일 06시,0,33,119.8,998,18,65,150,약,소형,북북동,38,null
2007년 09월 20일 06시,12,37,123,1002,null,null,null,null,null,북동,44,0
2007년 09월 20일 09시,0,34.6,120.9,998,18,65,150,약,소형,북북동,59,null
2007년 09월 20일 09시,12,39.6,126,1002,null,null,null,null,null,북동,60,0
2007년 09월 20일 12시,0,36.4,121.3,1000,null,null,null,null,null,북북동,69,null
