일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2008년 07월 15일 15시,0,18.1,123.7,996,18,65,150,약,소형,서남서,11,null
2008년 07월 15일 15시,24,19.3,122.8,992,22,79,180,약,소형,북서,7,150
2008년 07월 15일 15시,48,22,122,990,23,83,200,약,소형,북북서,13,250
2008년 07월 15일 15시,72,25,121.8,985,27,97,250,중,소형,북,14,400
2008년 07월 15일 21시,0,17.9,123.4,996,21,76,160,약,소형,서남서,6,null
2008년 07월 15일 21시,24,19.6,122.6,990,22,79,180,약,소형,북북서,9,150
2008년 07월 15일 21시,48,22.6,122,985,23,83,200,약,소형,북북서,14,250
2008년 07월 15일 21시,72,25.8,121.8,980,27,97,250,중,소형,북,15,400
2008년 07월 16일 03시,0,17.9,123.3,994,21,76,160,약,소형,서남서,3,null
2008년 07월 16일 03시,24,20.2,122.4,990,23,83,180,약,소형,북북서,11,150
2008년 07월 16일 03시,48,23.2,122.2,985,25,90,200,중,소형,북,14,250
2008년 07월 16일 03시,72,26.6,121.8,985,25,90,250,중,소형,북,16,400
2008년 07월 16일 09시,0,18.5,123.5,990,23,83,200,약,소형,북북동,8,null
2008년 07월 16일 09시,24,21.3,122.7,980,30,108,250,중,소형,북북서,13,150
2008년 07월 16일 09시,48,24,122.4,975,32,115,280,중,소형,북,13,250
2008년 07월 16일 09시,72,27.4,122.2,975,32,115,280,중,소형,북,16,400
2008년 07월 16일 15시,0,19.2,123.5,985,26,94,220,중,소형,북,13,null
2008년 07월 16일 15시,24,22.7,122.9,975,33,119,250,강,소형,북,16,150
2008년 07월 16일 15시,48,25.8,122.8,965,37,133,280,강,소형,북,14,250
2008년 07월 16일 15시,72,29.5,123.4,965,37,133,280,강,소형,북,18,400
2008년 07월 16일 21시,0,20.5,123.6,985,26,94,220,중,소형,북,24,null
2008년 07월 16일 21시,24,23.4,122.8,975,33,119,250,강,소형,북북서,14,150
2008년 07월 16일 21시,48,26.7,122.8,965,37,133,280,강,소형,북,15,250
2008년 07월 16일 21시,72,30.8,124.2,965,37,133,280,강,소형,북북동,20,400
2008년 07월 17일 03시,0,21.4,123.3,980,31,112,250,중,소형,북북서,16,null
2008년 07월 17일 03시,24,24.7,122.2,970,35,126,280,강,소형,북북서,16,150
2008년 07월 17일 03시,48,27.6,122,965,37,133,300,강,중형,북,13,250
2008년 07월 17일 03시,72,31.4,123.8,970,35,126,280,강,소형,북북동,19,400
2008년 07월 17일 09시,0,22.4,122.9,970,35,126,250,강,소형,북북서,21,null
2008년 07월 17일 09시,24,25.5,121.9,960,39,140,300,강,중형,북북서,15,150
2008년 07월 17일 09시,48,28.8,121.7,955,41,148,280,강,소형,북,15,250
2008년 07월 17일 09시,72,32.3,123,965,37,133,250,강,소형,북북동,17,400
2008년 07월 17일 15시,0,23.2,122.5,960,39,140,280,강,소형,북북서,16,null
2008년 07월 17일 15시,24,26,121.5,955,41,148,300,강,중형,북북서,14,150
2008년 07월 17일 15시,48,30.2,121.6,960,39,140,280,강,소형,북,20,250
2008년 07월 17일 15시,72,33.2,124.4,970,35,126,250,강,소형,북동,18,400
2008년 07월 17일 21시,0,24.1,122.1,965,36,130,280,강,소형,북북서,17,null
2008년 07월 17일 21시,24,27,121.3,965,36,130,280,강,소형,북북서,14,150
2008년 07월 17일 21시,48,30.3,121.4,975,33,119,250,강,소형,북,15,250
2008년 07월 17일 21시,72,33.8,125.3,985,27,97,220,중,소형,북동,23,400
