일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2002년 08월 23일 09시,0,16.5,161,1000,18,65,180,약,소형,서북서,26,null
2002년 08월 23일 09시,24,18.2,156.9,null,null,null,null,null,null,null,null,180
2002년 08월 23일 09시,48,19.7,152.1,null,null,null,null,null,null,null,null,300
2002년 08월 24일 15시,0,19.1,156,985,26,94,370,중,중형,서,22,null
2002년 08월 24일 15시,24,21,151.6,null,null,null,null,null,null,null,null,200
2002년 08월 24일 15시,48,22.9,146.4,null,null,null,null,null,null,null,null,330
2002년 08월 25일 15시,0,21.1,150.8,975,31,112,650,중,대형,서,32,null
2002년 08월 25일 15시,24,23,146,null,null,null,null,null,null,null,null,200
2002년 08월 25일 15시,48,23.8,141,null,null,null,null,null,null,null,null,330
2002년 08월 26일 15시,0,22.6,145.6,955,40,144,600,강,대형,서북서,21,null
2002년 08월 26일 15시,24,23.8,140.5,null,null,null,null,null,null,null,null,200
2002년 08월 26일 15시,48,24.9,135.2,null,null,null,null,null,null,null,null,330
2002년 08월 27일 15시,0,23.7,140.5,955,39,140,650,강,대형,서,24,null
2002년 08월 27일 15시,24,24.9,135.2,null,null,null,null,null,null,null,null,200
2002년 08월 27일 15시,48,26.6,130.2,null,null,null,null,null,null,null,null,330
2002년 08월 28일 09시,0,25.1,136.5,955,39,140,650,강,대형,서북서,25,null
2002년 08월 28일 09시,24,26.6,130.6,null,null,null,null,null,null,null,null,200
2002년 08월 28일 09시,48,27.8,126.2,null,null,null,null,null,null,null,null,310
2002년 08월 28일 21시,0,26.4,134.1,955,39,140,550,강,대형,서북서,24,null
2002년 08월 28일 21시,12,27.5,131,null,null,null,null,null,null,null,null,200
2002년 08월 28일 21시,24,28.5,128.9,null,null,null,null,null,null,null,null,200
2002년 08월 28일 21시,36,29.6,127.4,null,null,null,null,null,null,null,null,250
2002년 08월 28일 21시,48,30.5,126.5,null,null,null,null,null,null,null,null,300
2002년 08월 29일 09시,0,27.6,131.5,950,41,148,550,강,대형,서북서,24,null
2002년 08월 29일 09시,12,28.6,129.2,null,null,null,null,null,null,null,null,110
2002년 08월 29일 09시,24,29.8,127.8,null,null,null,null,null,null,null,null,180
2002년 08월 29일 09시,36,31.3,127,null,null,null,null,null,null,null,null,220
2002년 08월 29일 09시,48,33.1,126.9,null,null,null,null,null,null,null,null,260
2002년 08월 29일 15시,0,28,130.4,955,39,140,540,강,대형,서,17,null
2002년 08월 29일 15시,12,29.4,128.3,null,null,null,null,null,null,null,null,110
2002년 08월 29일 15시,24,30.7,127.4,null,null,null,null,null,null,null,null,180
2002년 08월 29일 15시,36,32.3,127.3,null,null,null,null,null,null,null,null,270
2002년 08월 29일 15시,48,34.6,127.7,null,null,null,null,null,null,null,null,350
2002년 08월 29일 21시,0,28.3,129.7,950,36,130,500,강,대형,북서,15,null
2002년 08월 29일 21시,12,30.1,127.9,null,null,null,null,null,null,null,null,110
2002년 08월 29일 21시,24,31.7,127.8,null,null,null,null,null,null,null,null,190
2002년 08월 29일 21시,36,33.6,127.5,null,null,null,null,null,null,null,null,280
2002년 08월 29일 21시,48,35.6,128.3,null,null,null,null,null,null,null,null,370
2002년 08월 30일 03시,0,28.8,128.8,950,36,130,500,강,대형,서북서,17,null
2002년 08월 30일 03시,12,30.3,127.7,null,null,null,null,null,null,null,null,110
2002년 08월 30일 03시,24,32,127.3,null,null,null,null,null,null,null,null,190
2002년 08월 30일 03시,36,34,127.6,null,null,null,null,null,null,null,null,280
2002년 08월 30일 03시,48,36.1,128.1,null,null,null,null,null,null,null,null,370
2002년 08월 30일 09시,0,29.5,128.2,950,36,130,500,강,대형,북서,15,null
2002년 08월 30일 09시,12,30.9,127.4,null,null,null,null,null,null,null,null,110
2002년 08월 30일 09시,24,32.8,127.2,null,null,null,null,null,null,null,null,190
2002년 08월 30일 09시,36,34.8,127.7,null,null,null,null,null,null,null,null,280
2002년 08월 30일 09시,48,37.1,128.3,null,null,null,null,null,null,null,null,370
2002년 08월 30일 15시,0,30.2,127.7,950,38,137,500,강,대형,북북서,15,null
2002년 08월 30일 15시,12,31.7,127.3,null,null,null,null,null,null,null,null,110
2002년 08월 30일 15시,24,34.1,127.3,null,null,null,null,null,null,null,null,190
2002년 08월 30일 15시,36,36.1,128,null,null,null,null,null,null,null,null,280
2002년 08월 30일 15시,48,38.3,129.1,null,null,null,null,null,null,null,null,370
2002년 08월 30일 21시,0,30.7,127.7,950,38,137,500,강,대형,북북서,11,null
2002년 08월 30일 21시,12,32.3,127.4,null,null,null,null,null,null,null,null,110
2002년 08월 30일 21시,24,34.4,127.4,null,null,null,null,null,null,null,null,190
2002년 08월 30일 21시,36,36.5,128.2,null,null,null,null,null,null,null,null,280
2002년 08월 30일 21시,48,38.5,129.2,null,null,null,null,null,null,null,null,370
2002년 08월 31일 03시,0,31.6,127.6,955,36,130,500,강,대형,북,11,null
2002년 08월 31일 03시,12,33.6,127.5,null,null,null,null,null,null,null,null,110
2002년 08월 31일 03시,24,36.1,127.8,null,null,null,null,null,null,null,null,190
2002년 08월 31일 03시,36,38.1,129.5,null,null,null,null,null,null,null,null,280
2002년 08월 31일 03시,48,40.3,131.5,null,null,null,null,null,null,null,null,370
2002년 08월 31일 06시,0,32.1,127.6,955,36,130,500,강,대형,북,11,null
2002년 08월 31일 06시,12,34.3,127.7,null,null,null,null,null,null,null,null,110
2002년 08월 31일 06시,24,36.8,128.3,null,null,null,null,null,null,null,null,190
2002년 08월 31일 06시,36,38.7,130,null,null,null,null,null,null,null,null,280
2002년 08월 31일 06시,48,40.8,132.2,null,null,null,null,null,null,null,null,370
2002년 08월 31일 09시,0,32.6,127.1,960,36,130,500,강,대형,북,18,null
2002년 08월 31일 09시,12,34.7,127.6,null,null,null,null,null,null,null,null,110
2002년 08월 31일 09시,24,37.3,128.3,null,null,null,null,null,null,null,null,190
2002년 08월 31일 09시,36,39.1,130.3,null,null,null,null,null,null,null,null,280
2002년 08월 31일 09시,48,41.2,133,null,null,null,null,null,null,null,null,370
2002년 08월 31일 12시,0,33.3,127.2,960,36,130,500,강,대형,북,20,null
2002년 08월 31일 12시,12,35.2,127.6,null,null,null,null,null,null,null,null,110
2002년 08월 31일 12시,24,37.7,128.5,null,null,null,null,null,null,null,null,190
2002년 08월 31일 12시,36,40,130.6,null,null,null,null,null,null,null,null,280
2002년 08월 31일 12시,48,42.1,133.5,null,null,null,null,null,null,null,null,370
2002년 08월 31일 15시,0,34.4,127.4,960,36,130,500,강,대형,북,30,null
2002년 08월 31일 15시,11.5,36,127.7,null,null,null,null,null,null,null,null,110
