일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2021년 12월 13일 15시,0,5.8,140.9,998,18,65,230,-,소형,서북서,27,null
2021년 12월 13일 15시,12,6.5,139.2,994,21,76,250,-,소형,서북서,17,60
2021년 12월 13일 15시,24,7.4,137.3,990,24,86,290,-,소형,서북서,20,110
2021년 12월 13일 15시,36,8.2,134.7,980,29,104,320,중,중형,서북서,24,140
2021년 12월 13일 15시,48,8.8,131.9,970,35,126,360,강,중형,서북서,26,170
2021년 12월 13일 15시,72,9.8,127.4,950,43,155,400,강,중형,서북서,21,230
2021년 12월 13일 15시,96,10,122.4,960,39,140,400,강,중형,서,23,310
2021년 12월 13일 15시,120,10.9,117.4,950,43,155,380,강,중형,서,23,430
2021년 12월 13일 21시,0,6.3,139.7,998,19,68,240,-,소형,북서,27,null
2021년 12월 13일 21시,12,7.1,137.9,992,23,83,270,-,소형,서북서,18,60
2021년 12월 13일 21시,24,8.1,136,985,27,97,310,중,중형,서북서,20,110
2021년 12월 13일 21시,36,8.7,133.4,975,32,115,340,중,중형,서북서,24,140
2021년 12월 13일 21시,48,9.1,131.1,960,39,140,370,강,중형,서,22,170
2021년 12월 13일 21시,72,9.9,126.2,950,43,155,400,강,중형,서,23,230
2021년 12월 13일 21시,96,10.3,121.1,960,39,140,400,강,중형,서,24,310
2021년 12월 13일 21시,120,11.6,116.8,950,43,155,380,강,중형,서북서,20,430
2021년 12월 14일 03시,0,6.8,138.6,994,21,76,260,-,소형,서북서,30,null
2021년 12월 14일 03시,12,7.6,136.7,990,24,86,290,-,소형,서북서,19,60
2021년 12월 14일 03시,24,8.6,134.5,980,29,104,330,중,중형,서북서,22,110
2021년 12월 14일 03시,36,8.9,132.4,965,37,133,360,강,중형,서,20,140
2021년 12월 14일 03시,48,9.5,129.9,950,43,155,380,강,중형,서북서,23,170
2021년 12월 14일 03시,72,10.1,125,955,40,144,400,강,중형,서,23,230
2021년 12월 14일 03시,96,11,120.1,960,39,140,400,강,중형,서,23,310
2021년 12월 14일 03시,120,12.2,116,950,43,155,380,강,중형,서북서,19,430
2021년 12월 14일 09시,0,7.3,137,990,24,86,280,-,소형,서북서,31,null
2021년 12월 14일 09시,12,8.1,135.1,980,29,104,310,중,중형,서북서,19,60
2021년 12월 14일 09시,24,8.8,133.1,970,35,126,350,강,중형,서북서,19,110
2021년 12월 14일 09시,36,9.2,131.3,960,39,140,370,강,중형,서북서,17,140
2021년 12월 14일 09시,48,9.7,128.4,950,43,155,390,강,중형,서,27,170
2021년 12월 14일 09시,72,10.4,123.1,955,40,144,400,강,중형,서,24,230
