일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2020년 11월 09일 15시,0,11.7,130.3,1002,18,65,250,-,소형,남서,13,null
2020년 11월 09일 15시,12,13.4,129.3,996,20,72,270,-,소형,북북서,18,60
2020년 11월 09일 15시,24,14.3,127.8,992,23,83,280,-,소형,서북서,16,120
2020년 11월 09일 15시,36,14.6,126.1,985,27,97,300,중,중형,서,15,150
2020년 11월 09일 15시,48,14.7,124.2,980,29,104,320,중,중형,서,17,180
2020년 11월 09일 15시,72,14.7,119.8,975,32,115,330,중,중형,서,20,250
2020년 11월 09일 15시,96,14.7,114.9,970,35,126,350,강,중형,서,22,350
2020년 11월 09일 15시,120,14.7,110.6,970,35,126,350,강,중형,서,22,470
2020년 11월 09일 21시,0,12.2,129.8,1002,18,65,250,-,소형,북서,5,null
2020년 11월 09일 21시,12,13.9,128.6,994,21,76,280,-,소형,북서,19,60
2020년 11월 09일 21시,24,14.5,127,985,27,97,300,중,중형,서북서,15,120
2020년 11월 09일 21시,36,14.7,125.3,980,29,104,320,중,중형,서,15,150
2020년 11월 09일 21시,48,14.7,123.3,975,32,115,330,중,중형,서,18,180
2020년 11월 09일 21시,72,14.7,118.6,970,35,126,350,강,중형,서,21,250
2020년 11월 09일 21시,96,14.7,113.7,970,35,126,350,강,중형,서,22,350
2020년 11월 09일 21시,120,15,110,975,32,115,330,중,중형,서,16,470
2020년 11월 10일 03시,0,12.3,129.7,998,19,68,270,-,소형,서,4,null
2020년 11월 10일 03시,12,14.3,127.8,985,27,97,300,중,중형,북서,25,60
2020년 11월 10일 03시,24,14.6,126.2,980,29,104,320,중,중형,서,15,120
2020년 11월 10일 03시,36,14.7,124.5,975,32,115,330,중,중형,서,15,150
2020년 11월 10일 03시,48,14.7,122.3,970,35,126,350,강,중형,서,20,180
2020년 11월 10일 03시,72,14.7,117.3,970,35,126,350,강,중형,서,22,250
2020년 11월 10일 03시,96,14.8,112.6,975,32,115,330,중,중형,서,21,350
2020년 11월 10일 03시,120,15.4,109.5,985,27,97,300,중,중형,서북서,14,470
2020년 11월 10일 09시,0,13.2,129,996,20,72,280,-,소형,북북서,23,null
2020년 11월 10일 09시,12,14.3,127.1,985,27,97,310,중,중형,서북서,20,60
2020년 11월 10일 09시,24,14.7,125.4,975,32,115,330,중,중형,서북서,15,120
2020년 11월 10일 09시,36,14.7,123.6,970,35,126,340,강,중형,서,16,150
2020년 11월 10일 09시,48,14.7,121.3,965,37,133,350,강,중형,서,21,180
2020년 11월 10일 09시,72,14.7,116.1,970,35,126,340,강,중형,서,23,250
2020년 11월 10일 09시,96,14.9,111.6,975,32,115,330,중,중형,서,20,350
2020년 11월 10일 09시,120,15.5,109.1,990,24,86,300,-,중형,서북서,14,470
2020년 11월 10일 15시,0,13.9,128.2,994,21,76,290,-,소형,북서,21,null
2020년 11월 10일 15시,12,14.5,126.1,985,27,97,320,중,중형,서북서,20,60
2020년 11월 10일 15시,24,14.7,123.9,980,29,104,330,중,중형,서,20,120
2020년 11월 10일 15시,36,14.8,121.6,975,32,115,350,중,중형,서,20,150
2020년 11월 10일 15시,48,14.8,119.3,975,32,115,350,중,중형,서,21,180
2020년 11월 10일 15시,72,14.8,114.6,965,37,133,330,강,중형,서,21,250
2020년 11월 10일 15시,96,15.3,110.5,970,35,126,320,강,중형,서,19,350
2020년 11월 10일 15시,120,16.8,106.8,992,23,83,290,-,소형,서북서,18,470
2020년 11월 10일 21시,0,14.5,126.7,990,24,86,280,-,소형,서,22,null
2020년 11월 10일 21시,12,14.6,125,985,27,97,300,중,중형,서,15,60
2020년 11월 10일 21시,24,14.7,122.8,980,29,104,320,중,중형,서,20,120
2020년 11월 10일 21시,36,14.8,120.6,975,32,115,330,중,중형,서,19,150
2020년 11월 10일 21시,48,14.8,118.3,970,35,126,340,강,중형,서,21,180
2020년 11월 10일 21시,72,14.9,113.5,965,37,133,340,강,중형,서,21,250
2020년 11월 10일 21시,96,15.6,109.5,975,32,115,310,중,중형,서북서,18,350
2020년 11월 10일 21시,120,17.4,105.9,998,19,68,290,-,소형,서북서,18,470
2020년 11월 11일 03시,0,14.6,125.8,985,27,97,290,중,소형,서,14,null
2020년 11월 11일 03시,12,14.7,123.9,980,29,104,310,중,중형,서,17,60
2020년 11월 11일 03시,24,14.8,121.3,980,29,104,320,중,중형,서,24,120
2020년 11월 11일 03시,36,14.8,119,980,29,104,330,중,중형,서,21,150
2020년 11월 11일 03시,48,14.8,116.6,975,32,115,340,중,중형,서,21,180
2020년 11월 11일 03시,72,15,112.5,965,37,133,340,강,중형,서,19,250
2020년 11월 11일 03시,96,16,108.5,985,27,97,300,중,중형,서북서,18,350
2020년 11월 11일 03시,120,17.5,105.4,1006,14,50,0,-,-,서북서,16,0
2020년 11월 11일 09시,0,14.6,124.6,975,32,115,330,중,중형,서,18,null
2020년 11월 11일 09시,12,14.7,122.6,970,35,126,340,강,중형,서,18,60
2020년 11월 11일 09시,24,14.8,120.1,975,32,115,330,중,중형,서,23,120
2020년 11월 11일 09시,36,14.8,117.9,975,32,115,330,중,중형,서,20,150
