일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2017년 12월 14일 09시,0,11.4,127.8,1000,18,65,200,약,소형,남남동,4,0
2017년 12월 14일 09시,24,10.9,126.5,1000,18,65,230,약,소형,서남서,6,140
2017년 12월 14일 09시,48,11.8,125.7,998,19,68,220,약,소형,북서,6,230
2017년 12월 14일 09시,72,12,123.8,998,19,68,220,약,소형,서,9,320
2017년 12월 14일 09시,96,11.3,120.1,998,19,68,210,약,소형,서,15,460
2017년 12월 14일 09시,120,10.6,117,996,20,72,200,약,소형,서남서,14,550
2017년 12월 14일 15시,0,11.2,127.5,1000,18,65,200,약,소형,서남서,7,0
2017년 12월 14일 15시,24,11,126.3,998,19,68,230,약,소형,서,6,140
2017년 12월 14일 15시,48,11.9,125.5,998,19,68,220,약,소형,북서,6,230
2017년 12월 14일 15시,72,12,123.2,998,19,68,210,약,소형,서,11,320
2017년 12월 14일 15시,96,11.1,119.5,998,19,68,200,약,소형,서남서,17,460
2017년 12월 14일 15시,120,10.3,116,996,20,72,190,약,소형,서남서,17,550
2017년 12월 14일 21시,0,11.1,127.3,1000,18,65,200,약,소형,서남서,4,0
2017년 12월 14일 21시,24,11.9,126.7,996,20,72,230,약,소형,북북서,5,140
2017년 12월 14일 21시,48,12.1,125.2,988,25,90,210,중,소형,서,7,230
2017년 12월 14일 21시,72,11.8,122.3,998,19,68,200,약,소형,서,13,320
2017년 12월 14일 21시,96,11,118.9,996,20,72,200,약,소형,서남서,16,460
2017년 12월 14일 21시,120,9.4,116,996,20,72,190,약,소형,서남서,15,550
2017년 12월 15일 03시,0,11.2,127.3,1000,18,65,200,약,소형,북,2,0
2017년 12월 15일 03시,24,12.1,126.8,996,20,72,220,약,소형,북북서,5,140
2017년 12월 15일 03시,48,12,124.5,998,19,68,200,약,소형,서,10,230
2017년 12월 15일 03시,72,11.9,121.3,998,19,68,200,약,소형,서,15,320
2017년 12월 15일 03시,96,10.4,118.4,996,20,72,200,약,소형,서남서,15,460
2017년 12월 15일 03시,120,9.4,115.5,996,20,72,190,약,소형,서남서,14,550
2017년 12월 15일 09시,0,11.7,127.8,998,19,68,220,약,소형,북동,13,0
2017년 12월 15일 09시,24,12.1,126.3,996,20,72,240,약,소형,서북서,7,140
2017년 12월 15일 09시,48,12.2,123.9,998,19,68,220,약,소형,서,11,230
2017년 12월 15일 09시,72,11.5,120.7,998,19,68,220,약,소형,서남서,15,320
2017년 12월 15일 09시,96,10.3,117.8,996,20,72,200,약,소형,서남서,14,460
2017년 12월 15일 09시,120,9.4,114.5,996,20,72,200,약,소형,서남서,16,550
2017년 12월 15일 15시,0,11.4,127.7,998,19,68,220,약,소형,남남서,6,0
2017년 12월 15일 15시,24,12.3,126,996,20,72,240,약,소형,서북서,7,140
2017년 12월 15일 15시,48,12,123.1,998,19,68,220,약,소형,서,13,230
2017년 12월 15일 15시,72,11.4,120.2,998,19,68,220,약,소형,서남서,13,320
2017년 12월 15일 15시,96,10.4,117,996,20,72,200,약,소형,서남서,15,460
2017년 12월 15일 15시,120,9.2,114,996,20,72,200,약,소형,서남서,14,550
2017년 12월 15일 21시,0,11.5,127.6,996,20,72,230,약,소형,북서,3,0
2017년 12월 15일 21시,24,12.4,125.6,996,20,72,230,약,소형,서북서,10,140
2017년 12월 15일 21시,48,11.9,122.5,998,19,68,220,약,소형,서,14,230
2017년 12월 15일 21시,72,11.2,119.6,998,19,68,220,약,소형,서남서,13,320
2017년 12월 15일 21시,96,10.1,116.1,996,20,72,200,약,소형,서남서,17,460
2017년 12월 15일 21시,120,8.5,112.8,996,20,72,200,약,소형,서남서,17,550
2017년 12월 16일 03시,0,12,127.1,996,20,72,230,약,소형,북서,13,0
2017년 12월 16일 03시,24,12.5,124.9,996,20,72,220,약,소형,서,12,140
2017년 12월 16일 03시,48,11.4,121.5,998,19,68,220,약,소형,서남서,16,230
2017년 12월 16일 03시,72,11,118.6,998,19,68,220,약,소형,서남서,15,320
2017년 12월 16일 03시,96,9.8,115.5,996,20,72,200,약,소형,서남서,17,460
2017년 12월 16일 03시,120,8.9,112.7,996,20,72,200,약,소형,서남서,13,550
2017년 12월 16일 09시,0,12.1,126.3,996,20,72,230,약,소형,서,15,0
2017년 12월 16일 09시,24,11.9,122.8,998,19,68,200,약,소형,서,16,140
2017년 12월 16일 09시,48,11,119.4,998,19,68,190,약,소형,서남서,16,230
2017년 12월 16일 09시,72,10.2,116.5,996,20,72,190,약,소형,서남서,14,320
2017년 12월 16일 09시,96,9,114,996,20,72,190,약,소형,서남서,13,460
2017년 12월 16일 09시,120,8.1,111.5,996,20,72,180,약,소형,서남서,12,550
2017년 12월 16일 15시,0,12.2,125.7,996,20,72,230,약,소형,서,11,0
2017년 12월 16일 15시,24,11.8,122.4,998,19,68,200,약,소형,서,15,140
2017년 12월 16일 15시,48,10.9,119,998,19,68,190,약,소형,서남서,16,230
2017년 12월 16일 15시,72,10,116.1,996,20,72,190,약,소형,서남서,14,320
2017년 12월 16일 15시,96,8.7,113.6,996,20,72,190,약,소형,서남서,13,460
2017년 12월 16일 15시,120,7.9,111,996,20,72,180,약,소형,서남서,12,550
2017년 12월 16일 21시,0,12.2,125.1,998,19,68,200,약,소형,서,11,0
2017년 12월 16일 21시,24,11.5,121.9,998,19,68,190,약,소형,서,15,140
2017년 12월 16일 21시,48,10.8,118.4,998,19,68,180,약,소형,서남서,15,230
2017년 12월 16일 21시,72,9.7,115.4,996,20,72,180,약,소형,서남서,14,320
