일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2003년 11월 13일 03시,0,11.8,132.1,998,18,65,250,약,소형,서북서,35,null
2003년 11월 13일 03시,24,12.9,125.3,null,null,null,null,null,null,null,null,200
2003년 11월 13일 03시,48,14.2,120.7,null,null,null,null,null,null,null,null,350
2003년 11월 13일 03시,72,15.5,116.3,null,null,null,null,null,null,null,null,450
2003년 11월 14일 09시,0,11.6,123.4,990,23,83,370,약,중형,서,33,null
2003년 11월 14일 09시,24,11.8,119.2,null,null,null,null,null,null,null,null,190
2003년 11월 14일 09시,48,12.9,115.6,null,null,null,null,null,null,null,null,310
2003년 11월 14일 09시,72,14.8,112,null,null,null,null,null,null,null,null,460
2003년 11월 15일 09시,0,12.6,118,980,28,101,440,중,중형,서북서,24,null
2003년 11월 15일 09시,24,14.2,113.4,null,null,null,null,null,null,null,null,190
2003년 11월 15일 09시,48,16,110.6,null,null,null,null,null,null,null,null,310
2003년 11월 15일 09시,72,19.3,109.5,null,null,null,null,null,null,null,null,460
2003년 11월 16일 09시,0,14.2,113.9,975,31,112,460,중,중형,서,15,null
2003년 11월 16일 09시,24,15.3,111.3,null,null,null,null,null,null,null,null,190
2003년 11월 16일 09시,48,17.5,110,null,null,null,null,null,null,null,null,310
2003년 11월 16일 09시,72,20,110,null,null,null,null,null,null,null,null,460
2003년 11월 17일 09시,0,16.1,110.3,975,31,112,460,중,중형,북서,17,null
2003년 11월 17일 09시,24,17.9,108.6,null,null,null,null,null,null,null,null,190
2003년 11월 17일 09시,48,19.4,107.8,null,null,null,null,null,null,null,null,300
2003년 11월 17일 09시,72,21.3,107.9,null,null,null,null,null,null,null,null,450
2003년 11월 18일 09시,0,18.2,108.9,980,28,101,240,중,소형,북서,13,null
2003년 11월 18일 09시,24,19.3,108,null,null,null,null,null,null,null,null,170
2003년 11월 18일 09시,48,21.1,108.3,null,null,null,null,null,null,null,null,330
2003년 11월 18일 09시,72,23.1,109.3,null,null,null,null,null,null,null,null,420
2003년 11월 19일 09시,0,20.1,108.8,996,18,65,180,약,소형,북북동,10,null
2003년 11월 19일 09시,24,21.6,110.1,null,null,null,null,null,null,null,null,170
2003년 11월 19일 15시,0,21,109,1004,null,null,null,null,null,북북동,13,null
