일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2016년 07월 26일 15시,0,18.4,112.2,998,19,68,150,약,소형,서북서,17,0
2016년 07월 26일 15시,24,20.1,108.4,994,21,76,160,약,소형,서북서,17,140
2016년 07월 26일 15시,48,22,106.2,1000,-1,-4,0,-,-,북서,13,0
2016년 07월 26일 21시,0,18.7,110.9,994,21,76,150,약,소형,서북서,24,0
2016년 07월 26일 21시,24,20.4,107.6,994,21,76,160,약,소형,서북서,18,140
2016년 07월 26일 21시,48,22.6,105.4,1002,-1,-4,0,-,-,북서,14,0
2016년 07월 27일 03시,0,19,109.9,998,19,68,150,약,소형,서북서,18,0
2016년 07월 27일 03시,24,20.6,106.6,994,21,76,150,약,소형,서북서,16,140
2016년 07월 27일 03시,48,22.8,104.6,1004,-1,-4,0,-,-,북서,13,0
2016년 07월 27일 09시,0,19.7,108.5,998,19,68,150,약,소형,서북서,28,0
2016년 07월 27일 09시,24,21.3,106,998,19,68,130,약,소형,서북서,13,140
2016년 07월 27일 09시,48,24.6,103.2,1004,-1,-4,0,-,-,북서,20,0
2016년 07월 27일 15시,0,19.9,107.1,998,19,68,150,약,소형,서,25,0
2016년 07월 27일 15시,24,21,103.6,1000,-1,-4,0,-,-,서북서,16,0
2016년 07월 27일 21시,0,19.9,106.6,990,24,86,180,약,소형,서,9,0
2016년 07월 27일 21시,24,20.6,103.5,1002,-1,-4,0,-,-,서북서,13,0
2016년 07월 28일 03시,0,20.2,106,988,24,86,170,약,소형,서북서,12,0
2016년 07월 28일 03시,24,21.9,103,1002,-1,-4,0,-,-,서북서,16,0
2016년 07월 28일 09시,0,20.4,105.8,990,23,83,150,약,소형,북서,5,0
2016년 07월 28일 09시,24,21.9,102.2,1004,-1,-4,0,-,-,서북서,17,0
2016년 07월 28일 15시,0,21.3,105,996,19,68,100,약,소형,북서,22,0
2016년 07월 28일 15시,24,22.3,102.2,1004,-1,-4,0,-,-,서북서,13,0
2016년 07월 28일 21시,0,22.1,104.7,1002,-1,-4,0,-,-,북북서,16,0
