일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2009년 08월 03일 21시,0,20,115,992,22,79,280,약,소형,북서,3,0
2009년 08월 03일 21시,24,21,114.7,990,24,86,300,약,중형,북북서,5,150
2009년 08월 03일 21시,48,22,114.4,992,22,79,280,약,소형,북북서,5,250
2009년 08월 03일 21시,72,23.1,114,1000,-1,-4,0,-,-,북북서,6,0
2009년 08월 04일 03시,0,20.4,114.6,990,24,86,300,약,중형,북서,5,0
2009년 08월 04일 03시,24,21.4,114.3,990,24,86,300,약,중형,북북서,5,150
2009년 08월 04일 03시,48,22.3,114.1,992,22,79,280,약,소형,북북서,5,250
2009년 08월 04일 03시,72,23.1,113.7,1000,-1,-4,0,-,-,북북서,5,0
2009년 08월 04일 09시,0,20.4,113.8,990,24,86,300,약,중형,서,14,0
2009년 08월 04일 09시,24,21.6,113.1,992,22,79,280,약,소형,북북서,7,150
2009년 08월 04일 09시,48,22.7,112,994,21,76,260,약,소형,북서,7,250
2009년 08월 04일 09시,72,23,111,1000,-1,-4,0,-,-,서북서,5,0
2009년 08월 04일 15시,0,21,113.4,992,22,79,280,약,소형,북북서,11,0
2009년 08월 04일 15시,24,21.3,112.3,994,20,72,270,약,소형,서북서,5,150
2009년 08월 04일 15시,48,21.7,110.8,998,18,65,250,약,소형,서북서,7,250
2009년 08월 04일 15시,72,22.2,109,1000,-1,-4,0,-,-,서북서,9,0
2009년 08월 04일 21시,0,21.6,113.4,990,24,86,200,약,소형,북,12,0
2009년 08월 04일 21시,24,22,112.2,994,21,76,180,약,소형,서북서,6,150
2009년 08월 04일 21시,48,22.4,110.7,998,-1,-4,0,-,-,서북서,7,0
2009년 08월 05일 03시,0,21.8,112.8,990,24,86,200,약,소형,서북서,11,0
2009년 08월 05일 03시,24,22.2,111.4,998,-1,-4,0,-,-,서북서,7,0
2009년 08월 05일 09시,0,22,112.3,994,21,76,180,약,소형,서북서,10,0
2009년 08월 05일 09시,24,22,110.7,1000,-1,-4,0,-,-,서,7,0
2009년 08월 05일 15시,0,21.9,112.2,994,21,76,150,약,소형,남남서,3,0
2009년 08월 05일 15시,24,21.9,110.9,1000,-1,-4,0,-,-,서,6,0
2009년 08월 05일 21시,0,22,112.1,990,24,86,150,약,소형,북북서,7,0
2009년 08월 05일 21시,24,21.5,110.9,1000,-1,-4,0,-,-,서남서,6,0
2009년 08월 06일 04시,0,22,111.9,990,20,72,130,약,소형,서,5,0
2009년 08월 06일 04시,24,22,111.5,1000,-1,-4,0,-,-,서남서,2,0
2009년 08월 06일 09시,0,21.9,111.5,990,20,72,120,약,소형,서남서,5,0
2009년 08월 06일 09시,24,21.8,111.3,1000,-1,-4,0,-,-,서남서,1,0
2009년 08월 06일 15시,0,22,111.1,990,24,86,120,약,소형,서북서,6,0
2009년 08월 06일 15시,24,21.9,110.8,1000,-1,-4,0,-,-,서남서,2,0
2009년 08월 06일 21시,0,21.8,110.8,990,-1,-4,0,-,-,남서,7,0
