일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2007년 11월 20일 21시,0,13,136.5,1000,17,61,200,약,소형,서북서,30,null
2007년 11월 20일 21시,24,13.5,131.1,995,19,68,200,약,소형,서,25,150
2007년 11월 20일 21시,48,13.1,126.5,985,27,97,220,중,소형,서,21,250
2007년 11월 20일 21시,72,13.7,123.8,985,27,97,220,중,소형,서북서,13,400
2007년 11월 21일 09시,0,13.8,133.6,996,21,76,250,약,소형,서,22,null
2007년 11월 21일 09시,24,14,128.5,985,27,97,280,중,소형,서,23,150
2007년 11월 21일 09시,48,13.9,125.4,970,35,126,300,강,중형,서,14,250
2007년 11월 21일 09시,72,14.9,123.3,960,39,140,350,강,중형,서북서,10,400
2007년 11월 21일 21시,0,14.5,131.8,985,27,97,250,중,소형,서북서,13,null
2007년 11월 21일 21시,24,14.5,127.5,980,30,108,280,중,소형,서,19,150
2007년 11월 21일 21시,48,14.8,125,970,35,126,300,강,중형,서,11,250
2007년 11월 21일 21시,72,15.9,123.6,965,37,133,320,강,중형,북서,8,400
2007년 11월 22일 09시,0,14.3,129.4,975,33,119,250,강,소형,서,26,null
2007년 11월 22일 09시,24,14.7,126.7,965,37,133,280,강,소형,서,12,150
2007년 11월 22일 09시,48,15.5,124.4,960,39,140,300,강,중형,서북서,11,250
2007년 11월 22일 09시,72,17.6,123.5,960,39,140,300,강,중형,북북서,10,400
2007년 11월 22일 21시,0,14.2,127.7,955,41,148,300,강,중형,서,15,null
2007년 11월 22일 21시,24,14.8,125.3,955,41,148,300,강,중형,서북서,11,150
2007년 11월 22일 21시,48,16.4,123.9,960,39,140,280,강,소형,북서,10,250
2007년 11월 22일 21시,72,17.7,122.8,965,37,133,250,강,소형,북서,8,400
2007년 11월 23일 09시,0,13.8,126.6,955,41,148,300,강,중형,남서,8,null
2007년 11월 23일 09시,24,14.4,124.4,955,41,148,300,강,중형,서북서,10,150
2007년 11월 23일 09시,48,15.6,122.8,960,39,140,280,강,소형,북서,9,250
2007년 11월 23일 09시,72,17,121.2,970,35,126,250,강,소형,북서,10,400
2007년 11월 23일 21시,0,13.9,126.8,960,39,140,300,강,중형,북,6,null
2007년 11월 23일 21시,24,14.9,125.5,955,41,148,300,강,중형,북서,8,150
2007년 11월 23일 21시,48,16.6,122.6,965,37,133,280,강,소형,서북서,15,250
2007년 11월 23일 21시,72,18.5,120.6,980,31,112,250,중,소형,북서,13,400
2007년 11월 24일 09시,0,14.3,126.2,960,39,140,300,강,중형,서북서,6,null
2007년 11월 24일 09시,24,15.4,124,960,39,140,300,강,중형,서북서,11,150
2007년 11월 24일 09시,48,18,120.9,990,23,83,200,약,소형,북서,18,250
2007년 11월 24일 09시,72,20.6,120.1,992,21,76,170,약,소형,북북서,13,400
2007년 11월 24일 21시,0,14.8,125.3,960,39,140,300,강,중형,서북서,6,null
2007년 11월 24일 21시,24,16.9,122.7,960,39,140,300,강,중형,북서,15,150
2007년 11월 24일 21시,48,19.3,120.3,990,23,83,200,약,소형,북서,15,250
2007년 11월 24일 21시,72,21.1,119.9,992,21,76,170,약,소형,북북서,8,400
2007년 11월 25일 09시,0,15.1,124.7,965,36,130,300,강,중형,서북서,6,null
2007년 11월 25일 09시,24,16.6,122.7,970,35,126,280,강,소형,북서,11,150
2007년 11월 25일 09시,48,18.4,120.7,985,27,97,230,중,소형,북서,12,250
2007년 11월 25일 09시,72,19.6,121.3,995,19,68,180,약,소형,북북동,6,400
2007년 11월 25일 21시,0,16.3,123.4,965,36,130,300,강,중형,북서,13,null
2007년 11월 25일 21시,24,18.6,121,985,27,97,250,중,소형,북서,15,150
2007년 11월 25일 21시,48,19.5,122,990,23,83,230,약,소형,북동,6,250
2007년 11월 25일 21시,72,20.6,123.6,995,19,68,180,약,소형,북동,9,400
2007년 11월 26일 09시,0,18.3,121.1,975,33,119,250,강,소형,서북서,28,null
2007년 11월 26일 09시,24,20,121,990,23,83,200,약,소형,북,8,150
2007년 11월 26일 09시,48,22.5,124.9,995,19,68,180,약,소형,동북동,20,250
2007년 11월 26일 09시,72,24.6,129.4,998,17,61,150,약,소형,동북동,21,400
2007년 11월 26일 21시,0,20.2,120.7,980,31,112,250,중,소형,북,20,null
2007년 11월 26일 21시,24,21.8,124,985,27,97,200,중,소형,동북동,16,150
2007년 11월 26일 21시,48,23.1,127.8,995,19,68,180,약,소형,동북동,18,250
2007년 11월 26일 21시,72,24.2,131.3,998,null,null,null,null,null,동북동,16,0
2007년 11월 27일 09시,0,21.5,122,985,28,101,200,중,소형,북동,19,null
2007년 11월 27일 09시,24,23.7,126.9,995,19,68,150,약,소형,동북동,23,150
2007년 11월 27일 09시,48,27,134.2,1000,null,null,null,null,null,동북동,34,0
2007년 11월 27일 21시,0,20.4,123.9,994,21,76,200,약,소형,동,17,null
2007년 11월 27일 21시,24,19.7,126.9,1000,null,null,null,null,null,동남동,13,0
2007년 11월 28일 03시,0,20,125,1000,null,null,null,null,null,동,28,null
