일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2021년 09월 23일 15시,0,14.6,110.6,1000,18,65,150,-,소형,북서,20,null
2021년 09월 23일 15시,12,15.7,109.2,1000,17,61,130,-,소형,북서,21,60
2021년 09월 23일 15시,24,16.4,107.2,1002,15,54,0,-,-,서,21,0
2021년 09월 23일 21시,0,15.4,109.5,1000,18,65,150,-,소형,서북서,29,null
2021년 09월 23일 21시,12,16.1,108.1,1000,17,61,130,-,소형,서북서,14,60
2021년 09월 23일 21시,24,16.6,106.5,1002,15,54,0,-,-,서,23,0
2021년 09월 24일 03시,0,15.7,107.9,1000,18,65,150,-,소형,서,29,null
2021년 09월 24일 03시,12,16.1,105.7,1002,15,54,0,-,-,서,20,0
2021년 09월 24일 09시,0,15.6,106.7,1002,15,54,0,-,-,서남서,19,null
