일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2012년 07월 28일 09시,0,14.4,126.6,1000,18,65,220,약,소형,서북서,21,0
2012년 07월 28일 09시,24,17,125.8,992,22,79,250,약,소형,북북서,13,150
2012년 07월 28일 09시,48,18.7,124.3,985,27,97,280,중,소형,북서,10,250
2012년 07월 28일 09시,72,19.8,123.1,975,34,122,300,강,중형,북서,7,400
2012년 07월 28일 09시,96,21,121.3,975,34,122,300,강,중형,북서,10,550
2012년 07월 28일 09시,120,22.6,120.5,980,31,112,280,중,소형,북북서,8,700
2012년 07월 28일 15시,0,15,125.7,998,20,72,240,약,소형,서북서,20,0
2012년 07월 28일 15시,24,17.5,124.2,990,24,86,260,약,소형,북북서,13,150
2012년 07월 28일 15시,48,19.2,123.3,980,31,112,300,중,중형,북북서,9,250
2012년 07월 28일 15시,72,20.8,121.8,970,36,130,350,강,중형,북서,10,400
2012년 07월 28일 15시,96,22.2,121.1,970,36,130,350,강,중형,북북서,7,550
2012년 07월 28일 15시,120,23.8,120.4,980,31,112,300,중,중형,북북서,8,700
2012년 07월 28일 21시,0,15.8,125.7,996,19,68,250,약,소형,북,15,0
2012년 07월 28일 21시,24,17.9,124,985,27,97,280,중,소형,북서,12,150
2012년 07월 28일 21시,48,19.6,123.2,975,34,122,300,강,중형,북북서,9,250
2012년 07월 28일 21시,72,21.1,122.3,965,38,137,350,강,중형,북북서,8,400
2012년 07월 28일 21시,96,22.5,121.5,965,38,137,350,강,중형,북북서,7,550
2012년 07월 28일 21시,120,23.8,120.4,970,36,130,300,강,중형,북서,8,700
2012년 07월 29일 03시,0,16.1,125.6,990,24,86,250,약,소형,북북서,6,0
2012년 07월 29일 03시,24,18.2,124.2,980,31,112,280,중,소형,북서,11,150
2012년 07월 29일 03시,48,20,123,970,36,130,300,강,중형,북북서,10,250
2012년 07월 29일 03시,72,21.4,122.2,965,38,137,350,강,중형,북북서,8,400
2012년 07월 29일 03시,96,22.6,121.3,970,36,130,320,강,중형,북서,7,550
