일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2018년 08월 08일 15시,0,19.5,133.4,994,18,65,280,약,소형,북동,22,null
2018년 08월 08일 15시,24,21.5,134.1,994,18,65,250,약,소형,북북동,10,110
2018년 08월 08일 15시,48,24.1,133.2,994,18,65,230,약,소형,북북서,13,170
2018년 08월 08일 15시,72,26.8,130.1,996,18,65,200,약,소형,북서,18,250
2018년 08월 08일 15시,96,28.8,126.3,996,18,65,200,약,소형,서북서,18,330
2018년 08월 08일 15시,120,30.8,122.3,996,18,65,200,약,소형,서북서,19,450
2018년 08월 08일 21시,0,19.8,133.9,994,18,65,280,약,소형,동북동,10,null
2018년 08월 08일 21시,24,22.1,134,994,18,65,250,약,소형,북,11,110
2018년 08월 08일 21시,48,24.8,132.6,994,18,65,230,약,소형,북북서,14,170
2018년 08월 08일 21시,72,27.4,129.2,996,18,65,200,약,소형,북서,18,250
2018년 08월 08일 21시,96,29.4,125.2,996,18,65,200,약,소형,서북서,19,330
2018년 08월 08일 21시,120,31.4,121.9,996,18,65,200,약,소형,서북서,16,450
2018년 08월 09일 03시,0,20,134.3,994,18,65,280,약,소형,동북동,8,null
2018년 08월 09일 03시,24,22.8,133.8,994,18,65,230,약,소형,북,13,110
2018년 08월 09일 03시,48,25.4,131.9,994,18,65,210,약,소형,북서,15,170
2018년 08월 09일 03시,72,27.9,128.2,996,18,65,200,약,소형,서북서,19,250
2018년 08월 09일 03시,96,30.2,124.5,996,18,65,200,약,소형,서북서,18,330
2018년 08월 09일 03시,120,33.3,121.4,996,18,65,200,약,소형,북북서,19,450
2018년 08월 09일 09시,0,20.8,133.7,994,18,65,270,약,소형,북서,18,null
2018년 08월 09일 09시,24,23.6,133.1,994,18,65,240,약,소형,북,13,110
2018년 08월 09일 09시,48,26.3,130.5,994,19,68,210,약,소형,북서,17,170
2018년 08월 09일 09시,72,29.2,126.7,992,19,68,200,약,소형,북서,21,250
2018년 08월 09일 09시,96,33.1,122.8,990,20,72,200,약,소형,북서,24,330
2018년 08월 09일 09시,120,36.5,121.7,990,20,72,200,약,소형,북북서,16,450
2018년 08월 09일 15시,0,20.8,133.2,994,18,65,280,약,소형,서,9,null
2018년 08월 09일 15시,24,23.7,132.4,994,18,65,230,약,소형,북북서,14,110
2018년 08월 09일 15시,48,26.9,129.6,994,18,65,220,약,소형,북서,19,170
2018년 08월 09일 15시,72,30,125.7,992,20,72,200,약,소형,북서,25,250
2018년 08월 09일 15시,96,34.2,121.9,990,20,72,200,약,소형,북서,25,330
2018년 08월 09일 15시,120,38.2,122.4,992,19,68,200,약,소형,북북동,15,450
2018년 08월 09일 21시,0,21.1,133.6,994,19,68,280,약,소형,북동,9,null
2018년 08월 09일 21시,24,24.5,131.8,994,19,68,230,약,소형,북북서,18,110
2018년 08월 09일 21시,48,27.6,128.6,994,19,68,210,약,소형,북서,20,170
2018년 08월 09일 21시,72,30.9,124.6,990,20,72,200,약,소형,북서,22,250
2018년 08월 09일 21시,96,35.4,121.7,990,20,72,200,약,소형,북,21,330
2018년 08월 09일 21시,120,39.3,123,990,20,72,200,약,소형,북동,15,450
2018년 08월 10일 03시,0,22.2,133,994,19,68,270,약,소형,북북서,23,null
2018년 08월 10일 03시,24,25.2,131.1,994,19,68,220,약,소형,북북서,16,110
2018년 08월 10일 03시,48,28.3,127.3,994,19,68,210,약,소형,북서,21,170
2018년 08월 10일 03시,72,31.9,123.5,990,21,76,200,약,소형,북서,22,250
2018년 08월 10일 03시,96,36.5,121.7,990,21,76,200,약,소형,북북서,22,330
2018년 08월 10일 03시,120,40.2,125.1,990,21,76,200,약,소형,북동,21,450
2018년 08월 10일 09시,0,22.8,132.3,994,19,68,260,약,소형,북서,16,null
2018년 08월 10일 09시,24,26,129.9,994,19,68,230,약,소형,북서,18,110
2018년 08월 10일 09시,48,29.3,126,992,20,72,220,약,소형,북서,22,170
2018년 08월 10일 09시,72,33.3,122.5,990,21,76,200,약,소형,북서,23,250
2018년 08월 10일 09시,96,37.8,121.8,990,21,76,200,약,소형,북,21,330
2018년 08월 10일 09시,120,42.4,128.9,994,18,65,180,약,소형,동북동,33,450
2018년 08월 10일 15시,0,22.8,132,994,19,68,250,약,소형,서,5,null
2018년 08월 10일 15시,24,26.8,129,992,20,72,230,약,소형,북서,23,110
2018년 08월 10일 15시,48,30.2,125.1,990,21,76,220,약,소형,북서,22,170
2018년 08월 10일 15시,72,34.4,121.8,990,21,76,200,약,소형,북서,23,250
2018년 08월 10일 15시,96,38.7,121.9,990,21,76,200,약,소형,북,20,330
2018년 08월 10일 15시,120,42.7,129.4,994,18,65,180,약,소형,동북동,32,450
2018년 08월 10일 21시,0,23.3,131.9,994,19,68,240,약,소형,북북서,9,null
2018년 08월 10일 21시,24,27.3,128.3,992,20,72,230,약,소형,북서,24,110
2018년 08월 10일 21시,48,31,124.3,990,21,76,210,약,소형,북서,24,170
2018년 08월 10일 21시,72,35.5,121.4,990,21,76,200,약,소형,북북서,24,250
2018년 08월 10일 21시,96,39.8,123.5,990,21,76,200,약,소형,북동,22,330
2018년 08월 10일 21시,120,43.3,130.7,994,18,65,180,약,소형,동북동,32,450
2018년 08월 11일 03시,0,24.2,131,994,19,68,240,약,소형,북서,23,null
2018년 08월 11일 03시,24,27.5,127.2,992,20,72,230,약,소형,북서,22,110
2018년 08월 11일 03시,48,31.9,123.2,990,21,76,210,약,소형,북서,26,170
2018년 08월 11일 03시,72,36.7,121.2,990,21,76,200,약,소형,북북서,23,250
2018년 08월 11일 03시,96,40.8,125.1,992,20,72,190,약,소형,북동,24,330
2018년 08월 11일 03시,120,43.7,131.9,994,18,65,180,약,소형,동북동,27,450
2018년 08월 11일 09시,0,25.1,129.6,994,19,68,230,약,소형,서북서,29,null
2018년 08월 11일 09시,24,28.5,125.7,992,20,72,220,약,소형,북서,23,110
2018년 08월 11일 09시,48,32.7,122,990,21,76,200,약,소형,북서,25,170
2018년 08월 11일 09시,72,37.7,121.3,990,21,76,190,약,소형,북,23,250
2018년 08월 11일 09시,96,41.6,126.4,994,20,72,180,약,소형,북동,26,330
2018년 08월 11일 09시,120,43.9,132.4,996,18,65,170,약,소형,동북동,23,450
2018년 08월 11일 15시,0,25.1,128,994,19,68,230,약,소형,서,27,null
2018년 08월 11일 15시,24,29.3,122.8,990,21,76,210,약,소형,북서,29,110
2018년 08월 11일 15시,48,32.9,119.7,996,20,72,180,약,소형,북서,20,170
2018년 08월 11일 15시,72,35.8,118,998,18,65,150,약,소형,북북서,15,250
2018년 08월 11일 15시,96,38.6,117.1,1002,13,47,0,-,-,북북서,13,0
2018년 08월 11일 21시,0,25.2,126.9,992,21,76,220,약,소형,서,19,null
2018년 08월 11일 21시,24,29.9,122,990,22,79,210,약,소형,북서,30,110
2018년 08월 11일 21시,48,33.7,119.2,996,19,68,170,약,소형,북서,21,170
2018년 08월 11일 21시,72,36.6,117.7,998,18,65,130,약,소형,북북서,15,250
2018년 08월 11일 21시,84,37.6,117.3,1002,14,50,0,-,-,북북서,10,0
2018년 08월 12일 03시,0,25.3,125.6,990,21,76,220,약,소형,서,22,null
2018년 08월 12일 03시,24,29.4,122.1,992,21,76,200,약,소형,북서,26,110
2018년 08월 12일 03시,48,33.9,119.1,998,18,65,150,약,소형,북서,24,170
2018년 08월 12일 03시,72,37,117.5,1002,14,50,0,-,-,북북서,16,0
2018년 08월 12일 09시,0,25.5,124.9,990,21,76,220,약,소형,서북서,12,null
2018년 08월 12일 09시,24,30.4,120.5,992,20,72,180,약,소형,북서,29,110
2018년 08월 12일 09시,48,34.8,117.9,998,18,65,120,약,소형,북북서,23,170
2018년 08월 12일 09시,60,36.5,117.3,1000,15,54,0,-,-,북,14,0
2018년 08월 12일 15시,0,26.3,123.7,992,20,72,200,약,소형,서북서,25,null
2018년 08월 12일 15시,24,31.7,118.6,996,18,65,100,약,소형,북서,27,110
2018년 08월 12일 15시,48,35.8,116.4,1000,13,47,0,-,-,북북서,21,0
2018년 08월 12일 21시,0,27.8,122.4,992,20,72,200,약,소형,북서,35,null
2018년 08월 12일 21시,24,32.9,117.8,996,17,61,80,약,소형,북서,30,110
2018년 08월 12일 21시,36,35,116.7,1000,13,47,0,-,-,북서,25,0
2018년 08월 13일 03시,0,28.7,121.3,992,20,72,150,약,소형,북서,24,null
2018년 08월 13일 03시,24,34.2,116.2,998,15,54,0,-,-,북서,33,0
2018년 08월 13일 09시,0,30.7,119.7,996,18,65,130,약,소형,북서,45,null
2018년 08월 13일 09시,24,35.1,115.3,998,15,54,0,-,-,북서,27,0
2018년 08월 13일 15시,0,32,117.8,996,16,58,0,-,-,북서,39,null
