일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2005년 10월 10일 15시,0,22.5,133.9,1000,18,65,330,약,중형,서,13,null
2005년 10월 10일 15시,24,22.3,132.7,990,23,83,380,약,중형,서,7,100
2005년 10월 10일 15시,48,22.6,131.8,980,30,108,430,중,중형,서북서,6,200
2005년 10월 10일 15시,72,23.4,131,975,33,119,450,강,중형,북서,7,300
2005년 10월 11일 15시,0,21,133,975,31,112,320,중,중형,남,8,null
2005년 10월 11일 15시,24,21.3,132.3,965,37,133,350,강,중형,서북서,5,150
2005년 10월 11일 15시,48,22.5,131.7,960,39,140,400,강,중형,북북서,8,250
2005년 10월 11일 15시,72,24.4,131.8,955,41,148,400,강,중형,북,12,400
2005년 10월 12일 15시,0,20.6,132.3,935,46,166,280,매우강,소형,북서,6,null
2005년 10월 12일 15시,24,21.5,131.7,930,48,173,320,매우강,중형,북북서,7,150
2005년 10월 12일 15시,48,22.8,131.3,925,50,180,350,매우강,중형,북북서,8,250
2005년 10월 12일 15시,72,24.5,131.3,930,48,173,320,매우강,중형,북,10,400
2005년 10월 13일 15시,0,21.5,131.8,940,43,155,370,강,중형,북,5,null
2005년 10월 13일 15시,24,22.9,131.6,940,43,155,370,강,중형,북,9,150
2005년 10월 13일 15시,48,24.6,131.8,945,41,148,320,강,중형,북,11,250
2005년 10월 13일 15시,72,26.6,132.9,950,39,140,320,강,중형,북북동,13,400
2005년 10월 14일 15시,0,22.9,131.3,950,41,148,370,강,중형,북,7,null
2005년 10월 14일 15시,24,24.4,131.6,955,39,140,350,강,중형,북북동,9,150
2005년 10월 14일 15시,48,26.6,133.2,960,37,133,300,강,중형,북동,16,250
2005년 10월 14일 15시,72,29.4,135.9,970,32,115,250,중,소형,북동,22,400
2005년 10월 15일 15시,0,23.5,131.2,945,41,148,300,강,중형,북,6,null
2005년 10월 15일 15시,24,24.8,132.2,950,39,140,280,강,소형,북동,10,150
2005년 10월 15일 15시,48,26.5,133.7,960,35,126,250,강,소형,북동,13,250
2005년 10월 15일 15시,72,29,136,970,32,115,200,중,소형,북동,19,400
2005년 10월 16일 15시,0,24.6,133.5,940,43,155,300,강,중형,북동,11,null
2005년 10월 16일 15시,24,26.4,133.9,945,41,148,280,강,소형,북북동,11,150
2005년 10월 16일 15시,48,28.5,134.9,955,37,133,250,강,소형,북북동,13,250
2005년 10월 16일 15시,72,31,137,965,32,115,220,중,소형,북동,18,400
2005년 10월 17일 09시,0,26.5,134.6,945,43,155,300,강,중형,북북동,13,null
2005년 10월 17일 09시,24,28.7,135.2,955,39,140,280,강,소형,북북동,13,150
2005년 10월 17일 09시,48,31.2,137.5,965,35,126,250,강,소형,북동,18,250
2005년 10월 17일 09시,72,33.7,141.1,980,29,104,230,중,소형,북동,22,400
2005년 10월 17일 21시,0,28.6,135.4,955,39,140,300,강,중형,북북동,20,null
2005년 10월 17일 21시,24,31.6,137.7,965,35,126,280,강,소형,북동,21,150
2005년 10월 17일 21시,48,34.9,142.1,975,31,112,250,중,소형,북동,28,250
2005년 10월 17일 21시,72,39.7,148.6,990,null,null,null,null,null,북동,38,0
2005년 10월 18일 15시,0,31,137.9,955,39,140,300,강,중형,북동,26,null
2005년 10월 18일 15시,24,34.9,142.5,975,31,112,250,중,소형,북동,31,200
2005년 10월 18일 15시,48,40.1,148.7,996,null,null,null,null,null,북동,38,0
2005년 10월 19일 15시,0,33.5,143.5,1000,null,null,null,null,null,북동,35,null
