일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2004년 04월 05일 09시,0,8.4,149.1,998,18,65,280,약,소형,서,4,null
2004년 04월 05일 09시,24,8.8,147.8,null,null,null,null,null,null,null,null,170
2004년 04월 05일 09시,48,9.5,146,null,null,null,null,null,null,null,null,330
2004년 04월 05일 09시,72,10,144,null,null,null,null,null,null,null,null,540
2004년 04월 06일 09시,0,9.2,147.1,980,26,94,440,중,중형,서,13,null
2004년 04월 06일 09시,24,10.4,144.8,null,null,null,null,null,null,null,null,190
2004년 04월 06일 09시,48,10.8,141.3,null,null,null,null,null,null,null,null,320
2004년 04월 06일 09시,72,11.8,138.6,null,null,null,null,null,null,null,null,470
2004년 04월 07일 09시,0,10,144.5,975,31,112,480,중,중형,서,7,null
2004년 04월 07일 09시,24,10.8,141.3,null,null,null,null,null,null,null,null,190
2004년 04월 07일 09시,48,11.8,138.8,null,null,null,null,null,null,null,null,320
2004년 04월 07일 09시,72,13,137.1,null,null,null,null,null,null,null,null,540
2004년 04월 08일 09시,0,9.1,140.6,965,36,130,450,강,중형,서,17,null
2004년 04월 08일 09시,24,10,137.8,null,null,null,null,null,null,null,null,190
2004년 04월 08일 09시,48,11,135.8,null,null,null,null,null,null,null,null,320
2004년 04월 08일 09시,72,12,134.2,null,null,null,null,null,null,null,null,540
2004년 04월 09일 09시,0,9,138.1,950,41,148,480,강,중형,서북서,7,null
2004년 04월 09일 09시,24,10.2,135.8,null,null,null,null,null,null,null,null,190
2004년 04월 09일 09시,48,11.4,134.2,null,null,null,null,null,null,null,null,320
2004년 04월 09일 09시,72,13,133.3,null,null,null,null,null,null,null,null,540
2004년 04월 10일 09시,0,10.8,135.3,940,44,158,520,매우강,대형,북서,13,null
2004년 04월 10일 09시,24,12.4,132.8,null,null,null,null,null,null,null,null,190
2004년 04월 10일 09시,48,14.2,132.8,null,null,null,null,null,null,null,null,320
2004년 04월 10일 09시,72,16.2,133.2,null,null,null,null,null,null,null,null,540
2004년 04월 11일 09시,0,13.1,132.4,945,44,158,520,매우강,대형,북북서,15,null
2004년 04월 11일 09시,24,15.6,132.4,null,null,null,null,null,null,null,null,180
2004년 04월 11일 09시,48,18,133.7,null,null,null,null,null,null,null,null,310
2004년 04월 11일 09시,72,20.8,136.7,null,null,null,null,null,null,null,null,460
2004년 04월 12일 09시,0,15.4,131,955,39,140,460,강,중형,북북서,11,null
2004년 04월 12일 09시,24,17.5,131.8,null,null,null,null,null,null,null,null,180
2004년 04월 12일 09시,48,19.6,133.2,null,null,null,null,null,null,null,null,310
2004년 04월 12일 09시,72,22,136,null,null,null,null,null,null,null,null,460
2004년 04월 13일 09시,0,17.2,131.6,955,39,140,480,강,중형,북북동,13,null
2004년 04월 13일 09시,24,20,133.9,null,null,null,null,null,null,null,null,180
2004년 04월 13일 09시,48,22.8,137,null,null,null,null,null,null,null,null,310
2004년 04월 13일 09시,72,25,141.5,null,null,null,null,null,null,null,null,460
2004년 04월 14일 09시,0,20.3,134,955,39,140,460,강,중형,북동,20,null
2004년 04월 14일 09시,24,23.8,139,null,null,null,null,null,null,null,null,200
2004년 04월 14일 09시,48,27.5,146.5,null,null,null,null,null,null,null,null,400
2004년 04월 14일 09시,72,32,158,null,null,null,null,null,null,null,null,600
2004년 04월 15일 09시,0,23.9,139,970,33,119,400,강,중형,북동,16,null
2004년 04월 15일 09시,24,27.3,147.7,null,null,null,null,null,null,null,null,200
2004년 04월 15일 09시,48,33,162,null,null,null,null,null,null,null,null,460
2004년 04월 15일 09시,72,38.1,178,null,null,null,null,null,null,null,null,900
2004년 04월 16일 09시,0,27.7,148.3,980,28,101,390,중,중형,동북동,48,null
2004년 04월 16일 09시,24,33,162,null,null,null,null,null,null,null,null,200
2004년 04월 16일 09시,48,39,179,null,null,null,null,null,null,null,null,460
2004년 04월 16일 21시,0,28.9,153.8,996,23,83,null,약,null,동북동,54,null
