일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2002년 11월 21일 03시,0,11.8,142.6,996,18,65,220,약,소형,서북서,31,null
2002년 11월 21일 03시,24,13.5,138.2,null,null,null,null,null,null,null,null,200
2002년 11월 21일 03시,48,16.2,135.5,null,null,null,null,null,null,null,null,300
2002년 11월 21일 15시,0,12.1,140.2,990,21,76,280,약,소형,서,20,null
2002년 11월 21일 15시,24,14.2,136.4,null,null,null,null,null,null,null,null,200
2002년 11월 21일 15시,48,17,135.8,null,null,null,null,null,null,null,null,330
2002년 11월 22일 15시,0,14.8,136,985,26,94,550,중,대형,북북서,26,null
2002년 11월 22일 15시,24,17.5,135,null,null,null,null,null,null,null,null,200
2002년 11월 22일 15시,48,20,136.6,null,null,null,null,null,null,null,null,330
2002년 11월 23일 15시,0,18.8,135.2,970,33,119,740,강,대형,북,20,null
2002년 11월 23일 15시,24,24.4,137.8,null,null,null,null,null,null,null,null,190
2002년 11월 23일 15시,48,33.7,146.5,null,null,null,null,null,null,null,null,440
2002년 11월 24일 15시,0,25,139.2,965,36,130,740,강,대형,북북동,56,null
2002년 11월 24일 15시,24,33.5,148,null,null,null,null,null,null,null,null,190
2002년 11월 24일 15시,48,39.5,161,null,null,null,null,null,null,null,null,440
2002년 11월 25일 09시,0,30.2,145.5,975,31,112,1480,중,초대형,북동,56,null
