일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2020년 09월 16일 03시,0,13,118.5,1000,18,65,150,-,소형,북서,5,null
2020년 09월 16일 03시,12,13.6,117.5,996,20,72,160,-,소형,서북서,11,60
2020년 09월 16일 03시,24,14.4,115.8,990,24,86,200,-,소형,서북서,17,120
2020년 09월 16일 03시,36,15.2,113.7,985,27,97,220,중,소형,서북서,20,150
2020년 09월 16일 03시,48,16,111.5,980,29,104,250,중,소형,서북서,21,180
2020년 09월 16일 03시,72,17.1,105.3,985,27,97,220,중,소형,서,28,250
2020년 09월 16일 03시,96,17.7,98.7,1000,15,54,0,-,-,서,29,0
2020년 09월 16일 09시,0,13.3,117.9,998,19,68,150,-,소형,북서,13,null
2020년 09월 16일 09시,12,14,116.7,992,23,83,180,-,소형,서북서,12,60
2020년 09월 16일 09시,24,14.8,114.8,985,27,97,210,중,소형,서북서,19,120
2020년 09월 16일 09시,36,15.8,112.8,980,29,104,230,중,소형,서북서,20,150
2020년 09월 16일 09시,48,16.5,110,980,29,104,240,중,소형,서북서,26,180
2020년 09월 16일 09시,72,17.3,103.5,994,15,54,0,-,-,서,29,0
2020년 09월 16일 15시,0,13.4,116.7,996,20,72,150,-,소형,서,10,null
2020년 09월 16일 15시,12,14.4,115.2,985,27,97,190,중,소형,북서,16,60
2020년 09월 16일 15시,24,15.5,113.1,980,29,104,220,중,소형,서북서,22,120
2020년 09월 16일 15시,36,16.4,110.8,980,29,104,230,중,소형,서북서,22,150
2020년 09월 16일 15시,48,16.8,108.1,985,27,97,230,중,소형,서,24,180
2020년 09월 16일 15시,72,17.5,101.9,998,15,54,0,-,-,서,27,0
2020년 09월 16일 21시,0,13.6,115.6,994,21,76,170,-,소형,서,20,null
2020년 09월 16일 21시,12,14.4,114,985,27,97,200,중,소형,서북서,17,60
2020년 09월 16일 21시,24,15.6,111.6,980,29,104,230,중,소형,서북서,24,120
2020년 09월 16일 21시,36,16.3,109.5,980,29,104,230,중,소형,서북서,20,150
2020년 09월 16일 21시,48,16.9,106.6,985,27,97,200,중,소형,서,26,180
2020년 09월 16일 21시,72,17.6,100.9,1000,13,47,0,-,-,서,25,0
2020년 09월 17일 03시,0,13.7,114.7,992,23,83,180,-,소형,서,16,null
2020년 09월 17일 03시,12,14.8,112.5,985,27,97,210,중,소형,서북서,22,60
2020년 09월 17일 03시,24,15.8,110.3,980,29,104,220,중,소형,서북서,22,120
2020년 09월 17일 03시,36,16.3,108.1,980,29,104,220,중,소형,서북서,21,150
2020년 09월 17일 03시,48,16.9,105.1,994,21,76,180,-,소형,서,27,180
2020년 09월 17일 03시,60,17.3,101.9,1000,15,54,0,-,-,서,29,0
2020년 09월 17일 09시,0,14.1,114.1,992,23,83,180,-,소형,서북서,14,null
2020년 09월 17일 09시,12,15.2,111.7,985,27,97,210,중,소형,서북서,24,60
2020년 09월 17일 09시,24,16.1,109.3,980,29,104,220,중,소형,서북서,23,120
2020년 09월 17일 09시,36,16.6,106.7,985,27,97,200,중,소형,서,23,150
2020년 09월 17일 09시,48,17.1,103.3,996,15,54,0,-,-,서,30,0
2020년 09월 17일 15시,0,15.6,113.1,992,23,83,200,-,소형,북서,41,null
2020년 09월 17일 15시,12,16.1,110.7,985,27,97,220,중,소형,서,22,60
2020년 09월 17일 15시,24,16.7,108,985,27,97,210,중,소형,서북서,25,120
2020년 09월 17일 15시,36,16.9,104.8,990,24,86,180,-,소형,서,28,150
2020년 09월 17일 15시,48,17.3,102.1,998,15,54,0,-,-,서,30,0
2020년 09월 17일 21시,0,15.9,112,990,24,86,210,-,소형,서북서,27,null
2020년 09월 17일 21시,12,16.4,109.2,985,27,97,220,중,소형,서,25,60
2020년 09월 17일 21시,24,16.9,106,990,24,86,190,-,소형,서,29,120
2020년 09월 17일 21시,36,17.2,102.9,996,15,54,0,-,-,서,28,0
2020년 09월 18일 03시,0,16,110.5,990,24,86,210,-,소형,서,21,null
2020년 09월 18일 03시,12,16.6,107.6,990,24,86,210,-,소형,서북서,26,60
2020년 09월 18일 03시,24,16.7,104.3,1000,15,54,0,-,-,서,29,0
2020년 09월 18일 09시,0,16.3,108.4,990,24,86,210,-,소형,서,46,null
2020년 09월 18일 09시,12,16.6,106,994,21,76,180,-,소형,서,22,60
2020년 09월 18일 09시,24,16.8,102.6,1002,15,54,0,-,-,서,29,0
2020년 09월 18일 15시,0,16.7,106,994,21,76,180,-,소형,서,53,null
2020년 09월 18일 15시,12,16.8,103,998,15,54,0,-,-,서,27,0
2020년 09월 18일 21시,0,16.3,103.5,996,15,54,0,-,-,서,45,null
