일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2019년 01월 01일 15시,0,6.4,110.4,1000,18,65,230,약,소형,남서,8,null
2019년 01월 01일 15시,24,6.4,107.6,998,19,68,250,약,소형,서,13,110
2019년 01월 01일 15시,48,7,104.6,996,20,72,270,약,소형,서북서,14,170
2019년 01월 01일 15시,72,8.8,101.2,994,21,76,280,약,소형,서북서,18,250
2019년 01월 01일 15시,96,10.5,97.9,996,20,72,250,약,소형,서북서,17,330
2019년 01월 01일 15시,120,12,94.9,996,20,72,250,약,소형,서북서,15,450
2019년 01월 01일 21시,0,6,109.6,1000,18,65,230,약,소형,서남서,16,null
2019년 01월 01일 21시,24,6.5,106.9,996,20,72,260,약,소형,서,13,110
2019년 01월 01일 21시,48,7.4,103.8,994,21,76,270,약,소형,서북서,15,170
2019년 01월 01일 21시,72,9.5,99.9,994,21,76,280,약,소형,서북서,20,250
2019년 01월 01일 21시,96,11.2,96.7,996,20,72,250,약,소형,서북서,16,330
2019년 01월 01일 21시,120,12.4,94,998,19,68,240,약,소형,서북서,14,450
2019년 01월 02일 03시,0,6.1,109,1000,18,65,230,약,소형,서,11,null
2019년 01월 02일 03시,24,6.7,106.1,996,20,72,260,약,소형,서,13,110
2019년 01월 02일 03시,48,7.8,102.8,992,23,83,270,약,소형,서북서,16,170
2019년 01월 02일 03시,72,9.8,99.3,992,23,83,250,약,소형,서북서,19,250
2019년 01월 02일 03시,96,11.7,95.6,996,20,72,230,약,소형,서북서,19,330
2019년 01월 02일 03시,120,13.6,92.8,998,19,68,220,약,소형,북서,15,450
2019년 01월 02일 09시,0,5.9,108.7,998,19,68,250,약,소형,서남서,7,null
2019년 01월 02일 09시,24,6.9,105.3,994,21,76,260,약,소형,서북서,16,110
2019년 01월 02일 09시,48,8.3,102,992,23,83,270,약,소형,서북서,17,170
2019년 01월 02일 09시,72,10.3,98.4,998,19,68,250,약,소형,서북서,19,250
2019년 01월 02일 09시,96,12.3,94.8,998,19,68,220,약,소형,서북서,19,330
2019년 01월 02일 09시,120,13.9,92.5,1000,18,65,200,약,소형,북서,15,450
2019년 01월 02일 15시,0,6.3,108,998,19,68,250,약,소형,서북서,15,null
2019년 01월 02일 15시,24,7.3,104.6,994,21,76,260,약,소형,서북서,16,110
2019년 01월 02일 15시,48,8.8,101.1,992,23,83,270,약,소형,서북서,17,170
2019년 01월 02일 15시,72,10.8,97.4,998,19,68,240,약,소형,서북서,19,250
2019년 01월 02일 15시,96,12.8,94,998,19,68,220,약,소형,서북서,18,330
2019년 01월 02일 15시,120,14.8,91.3,1002,15,54,0,-,-,북서,15,0
2019년 01월 02일 21시,0,6.3,107.1,998,19,68,250,약,소형,서,17,null
2019년 01월 02일 21시,24,7.4,103.6,994,21,76,260,약,소형,서북서,17,110
2019년 01월 02일 21시,48,9.2,99.8,994,21,76,260,약,소형,서북서,19,170
2019년 01월 02일 21시,72,11.2,96.2,998,19,68,250,약,소형,서북서,19,250
2019년 01월 02일 21시,96,13.1,92.9,998,19,68,250,약,소형,서북서,17,330
2019년 01월 02일 21시,120,15.4,90.8,1002,13,47,0,-,-,북서,14,0
2019년 01월 03일 03시,0,6.1,105.6,996,20,72,250,약,소형,서,28,null
2019년 01월 03일 03시,24,7.4,102.2,994,21,76,260,약,소형,서북서,17,110
2019년 01월 03일 03시,48,9.1,98.5,998,19,68,250,약,소형,서북서,18,170
2019년 01월 03일 03시,72,10.5,95.3,998,19,68,250,약,소형,서북서,16,250
2019년 01월 03일 03시,96,12.3,91.8,1000,18,65,230,약,소형,서북서,18,330
2019년 01월 03일 03시,120,14.1,90.2,1004,11,40,0,-,-,북서,11,0
2019년 01월 03일 09시,0,6,104.5,996,20,72,250,약,소형,서,20,null
2019년 01월 03일 09시,24,7.4,101.3,994,21,76,260,약,소형,서북서,16,110
2019년 01월 03일 09시,48,9,97.8,998,19,68,250,약,소형,서북서,18,170
2019년 01월 03일 09시,72,10.6,94.4,1000,17,61,230,약,소형,서북서,17,250
2019년 01월 03일 09시,96,12.3,91.3,1002,17,61,200,약,소형,서북서,17,330
2019년 01월 03일 09시,120,14.1,89.8,1006,17,61,0,-,-,북서,11,0
2019년 01월 03일 15시,0,6.3,104.2,996,20,72,250,약,소형,북서,8,null
2019년 01월 03일 15시,24,7.9,101.2,994,21,76,260,약,소형,서북서,16,110
2019년 01월 03일 15시,48,9.3,97.5,996,20,72,250,약,소형,서북서,18,170
2019년 01월 03일 15시,72,10.9,94.2,1000,17,61,230,약,소형,서북서,16,250
2019년 01월 03일 15시,96,12.7,91.3,1004,17,61,0,-,-,북서,16,0
2019년 01월 03일 21시,0,6.3,103.8,996,20,72,250,약,소형,서,7,null
2019년 01월 03일 21시,24,8.1,100.2,994,21,76,260,약,소형,서북서,18,110
2019년 01월 03일 21시,48,9.7,96.6,996,20,72,250,약,소형,서북서,18,170
2019년 01월 03일 21시,72,11.4,93.4,1000,17,61,220,약,소형,서북서,16,250
2019년 01월 03일 21시,96,13,90.9,1004,15,54,0,-,-,북서,16,0
2019년 01월 04일 03시,0,6.8,103,994,21,76,260,약,소형,서북서,17,null
2019년 01월 04일 03시,24,8.5,99.3,994,21,76,260,약,소형,서북서,19,110
2019년 01월 04일 03시,48,10.1,95.8,996,20,72,250,약,소형,서북서,18,170
2019년 01월 04일 03시,72,11.8,92.7,1000,18,65,220,약,소형,서북서,16,250
2019년 01월 04일 03시,96,13.6,90.7,1004,15,54,0,-,-,북서,12,0
2019년 01월 04일 09시,0,7.9,101.6,992,23,83,260,약,소형,북서,33,null
2019년 01월 04일 09시,24,9,98.2,996,20,72,250,약,소형,서북서,17,110
2019년 01월 04일 09시,48,10.5,94.8,998,19,68,240,약,소형,서북서,17,170
2019년 01월 04일 09시,72,12.3,92,1000,18,65,200,약,소형,서북서,16,250
2019년 01월 04일 09시,96,14,90.1,1004,15,54,0,-,-,북서,12,0
2019년 01월 04일 15시,0,8.5,100.8,994,21,76,250,약,소형,북서,18,null
2019년 01월 04일 15시,24,9.3,97.3,996,20,72,240,약,소형,서북서,16,110
2019년 01월 04일 15시,48,10.9,94.1,998,19,68,230,약,소형,서북서,16,170
2019년 01월 04일 15시,72,13.5,90.9,1002,16,58,0,-,-,북서,19,0
2019년 01월 04일 21시,0,8.6,99.8,994,21,76,250,약,소형,서,18,null
2019년 01월 04일 21시,24,9.6,96.6,996,20,72,240,약,소형,서북서,15,110
2019년 01월 04일 21시,48,11.4,93.1,998,19,68,230,약,소형,서북서,18,170
2019년 01월 04일 21시,72,13.6,90.6,1002,17,61,0,-,-,북서,15,0
