일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2018년 10월 22일 03시,0,8.8,157,1002,18,65,200,약,소형,서북서,19,null
2018년 10월 22일 03시,24,10.5,152.8,990,24,86,230,약,소형,서북서,21,110
2018년 10월 22일 03시,48,12.8,149.4,975,32,115,270,중,소형,북서,19,170
2018년 10월 22일 03시,72,15.1,146.3,960,39,140,300,강,중형,북서,17,250
2018년 10월 22일 03시,96,16.6,142.5,945,45,162,320,매우 강,중형,서북서,18,330
2018년 10월 22일 03시,120,17.6,138.8,935,49,176,350,매우 강,중형,서북서,17,450
2018년 10월 22일 09시,0,9.2,155.8,998,19,68,210,약,소형,서북서,23,null
2018년 10월 22일 09시,24,11,152.1,990,24,86,240,약,소형,서북서,19,110
2018년 10월 22일 09시,48,13.4,148.7,975,32,115,280,중,소형,북서,19,170
2018년 10월 22일 09시,72,15.5,145.4,960,39,140,310,강,중형,서북서,18,250
2018년 10월 22일 09시,96,17.2,142.6,940,47,169,340,매우 강,중형,서북서,15,330
2018년 10월 22일 09시,120,19.1,139.6,930,50,180,360,매우 강,중형,서북서,16,450
2018년 10월 22일 15시,0,10.1,155,996,20,72,210,약,소형,북서,22,null
2018년 10월 22일 15시,24,11.6,151.3,985,27,97,250,중,소형,서북서,18,110
2018년 10월 22일 15시,48,13.9,147.9,970,35,126,290,강,소형,북서,19,170
2018년 10월 22일 15시,72,15.9,144.7,950,43,155,320,강,중형,서북서,17,250
2018년 10월 22일 15시,96,17.7,141.8,930,50,180,340,매우 강,중형,서북서,15,330
2018년 10월 22일 15시,120,19.4,139.2,920,53,191,360,매우 강,중형,서북서,14,450
2018년 10월 22일 21시,0,10.9,154,990,24,86,230,약,소형,북서,23,null
2018년 10월 22일 21시,24,12.2,150.4,980,29,104,260,중,소형,서북서,17,110
2018년 10월 22일 21시,48,14.4,147.1,965,37,133,300,강,중형,북서,18,170
2018년 10월 22일 21시,72,16.4,143.9,940,47,169,320,매우 강,중형,서북서,17,250
2018년 10월 22일 21시,96,18.2,141.1,930,50,180,340,매우 강,중형,서북서,15,330
2018년 10월 22일 21시,120,19.7,138.8,920,53,191,360,매우 강,중형,서북서,14,450
2018년 10월 23일 03시,0,11.4,152.6,985,27,97,250,중,소형,서북서,27,null
2018년 10월 23일 03시,24,12.7,149.6,975,32,115,280,중,소형,서북서,15,110
2018년 10월 23일 03시,48,15,146.3,955,40,144,300,강,중형,북서,18,170
