일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2012년 09월 24일 21시,0,20.3,138.9,1000,18,65,150,약,소형,북서,23,0
2012년 09월 24일 21시,24,23.7,139.3,994,21,76,170,약,소형,북,16,150
2012년 09월 24일 21시,48,27.1,139.7,985,27,97,200,중,소형,북,16,250
2012년 09월 24일 21시,72,30.6,140.4,980,31,112,230,중,소형,북북동,16,400
2012년 09월 24일 21시,96,33.5,142.4,985,27,97,200,중,소형,북동,16,550
2012년 09월 24일 21시,120,37.5,146.6,990,24,86,180,약,소형,북동,24,700
2012년 09월 25일 03시,0,20.7,138.8,998,18,65,180,약,소형,북북서,8,0
2012년 09월 25일 03시,24,24.4,139.6,994,21,76,200,약,소형,북북동,17,150
2012년 09월 25일 03시,48,28,140.3,985,27,97,230,중,소형,북북동,17,250
2012년 09월 25일 03시,72,31.6,141.1,980,31,112,250,중,소형,북북동,17,400
2012년 09월 25일 03시,96,34.9,144.1,985,27,97,230,중,소형,북동,19,550
2012년 09월 25일 03시,120,38.3,147.9,990,24,86,200,약,소형,북동,21,700
2012년 09월 25일 09시,0,21.8,138.6,998,18,65,230,약,소형,북,21,0
2012년 09월 25일 09시,24,25.9,139.8,990,24,86,250,약,소형,북북동,20,150
2012년 09월 25일 09시,48,29.7,140.2,980,31,112,280,중,소형,북,18,250
2012년 09월 25일 09시,72,31.7,141.5,975,34,122,300,강,중형,북북동,11,400
2012년 09월 25일 09시,96,34.8,144.2,985,27,97,250,중,소형,북동,18,550
2012년 09월 25일 09시,120,39.4,149.1,994,21,76,200,약,소형,북동,28,700
2012년 09월 25일 15시,0,22.7,138.3,998,18,65,230,약,소형,북북서,17,0
2012년 09월 25일 15시,24,26.8,140.5,990,24,86,250,약,소형,북북동,21,150
2012년 09월 25일 15시,48,30.2,140.9,980,31,112,280,중,소형,북,16,250
2012년 09월 25일 15시,72,32.2,142.4,980,31,112,300,중,중형,북동,11,400
2012년 09월 25일 15시,96,36.9,146.9,990,24,86,250,약,소형,북동,28,550
2012년 09월 25일 15시,120,43.3,154,996,19,68,200,약,소형,북동,39,700
2012년 09월 25일 21시,0,23.1,139,994,21,76,250,약,소형,동북동,14,0
2012년 09월 25일 21시,24,27.2,140.5,985,27,97,300,중,중형,북북동,20,150
2012년 09월 25일 21시,48,30.9,141,980,31,112,330,중,중형,북,17,250
2012년 09월 25일 21시,72,33.3,143.5,980,31,112,330,중,중형,북동,15,400
2012년 09월 25일 21시,96,38.4,148.4,990,24,86,280,약,소형,북동,30,550
2012년 09월 25일 21시,120,45.5,158.2,996,-1,-4,0,-,-,북동,47,0
2012년 09월 26일 03시,0,24.8,140.1,990,24,86,250,약,소형,북북동,37,0
2012년 09월 26일 03시,24,28.8,140.7,980,31,112,300,중,중형,북,19,150
2012년 09월 26일 03시,48,31,140.9,970,36,130,330,강,중형,북,10,250
2012년 09월 26일 03시,72,33.6,143.8,970,36,130,330,강,중형,북동,17,400
2012년 09월 26일 03시,96,38.7,148.8,985,27,97,280,중,소형,북동,30,550
2012년 09월 26일 03시,120,45.7,158.7,998,-1,-4,0,-,-,북동,47,0
2012년 09월 26일 09시,0,25.6,141.2,990,24,86,250,약,소형,북동,24,0
2012년 09월 26일 09시,24,29.4,141.7,980,31,112,300,중,중형,북,18,150
2012년 09월 26일 09시,48,31.4,141.5,970,36,130,330,강,중형,북,10,250
2012년 09월 26일 09시,72,35,144.7,970,36,130,330,강,중형,북동,21,400
2012년 09월 26일 09시,96,41.3,152.6,985,27,97,280,중,소형,북동,41,550
2012년 09월 26일 09시,120,48.9,166.5,998,-1,-4,0,-,-,동북동,58,0
2012년 09월 26일 15시,0,26.4,142.2,990,24,86,250,약,소형,북동,22,0
2012년 09월 26일 15시,24,30.1,142.2,980,31,112,300,중,중형,북,17,150
2012년 09월 26일 15시,48,31.7,142.5,975,34,122,330,강,중형,북,8,250
2012년 09월 26일 15시,72,35.9,146.4,980,31,112,300,중,중형,북동,25,400
2012년 09월 26일 15시,96,43.3,156,990,24,86,250,약,소형,북동,48,550
2012년 09월 26일 15시,120,50.7,171,998,-1,-4,0,-,-,동북동,58,0
2012년 09월 26일 21시,0,28.4,142.6,985,27,97,280,중,소형,북북동,38,0
2012년 09월 26일 21시,24,31.8,142.6,975,32,115,330,중,중형,북,16,150
2012년 09월 26일 21시,48,34.7,145,980,31,112,300,중,중형,북동,16,250
2012년 09월 26일 21시,72,39,150,985,27,97,280,중,소형,북동,28,400
2012년 09월 26일 21시,96,46.4,161.2,994,-1,-4,0,-,-,동북동,51,0
2012년 09월 27일 03시,0,29.1,142.5,985,27,97,280,중,소형,북,13,0
2012년 09월 27일 03시,24,32.2,142.3,975,32,115,330,중,중형,북,14,150
2012년 09월 27일 03시,48,35.4,145.5,980,31,112,300,중,중형,북동,20,250
2012년 09월 27일 03시,72,40.5,152,990,24,86,250,약,소형,북동,33,400
2012년 09월 27일 03시,96,47.4,164.5,996,-1,-4,0,-,-,동북동,53,0
2012년 09월 27일 09시,0,30.4,142.7,985,27,97,280,중,소형,북,24,0
2012년 09월 27일 09시,24,33.1,143.2,990,24,86,260,약,소형,북북동,13,150
2012년 09월 27일 09시,48,36.3,147.2,994,21,76,220,약,소형,북동,21,250
2012년 09월 27일 09시,72,43,157,998,-1,-4,0,-,-,북동,47,0
2012년 09월 27일 15시,0,31.2,142.2,985,27,97,280,중,소형,북북서,17,0
2012년 09월 27일 15시,24,33,143.6,990,24,86,260,약,소형,북동,10,150
2012년 09월 27일 15시,48,36.7,147.4,994,21,76,220,약,소형,북동,22,250
2012년 09월 27일 15시,72,45.1,159,998,-1,-4,0,-,-,북동,56,0
2012년 09월 27일 21시,0,31.6,141.6,985,27,97,280,중,소형,서북서,12,0
2012년 09월 27일 21시,24,33.6,143.5,990,24,86,260,약,소형,북동,12,150
2012년 09월 27일 21시,48,37.8,149.3,994,21,76,220,약,소형,북동,29,250
2012년 09월 27일 21시,72,44.5,162.6,998,-1,-4,0,-,-,동북동,56,0
2012년 09월 28일 03시,0,31.5,141.7,985,27,97,280,중,소형,남동,2,0
2012년 09월 28일 03시,24,34,144,990,24,86,260,약,소형,북동,15,150
2012년 09월 28일 03시,48,39.2,151.4,994,21,76,220,약,소형,북동,36,250
2012년 09월 28일 03시,72,44.7,169,998,-1,-4,0,-,-,동북동,66,0
2012년 09월 28일 09시,0,31.7,142.4,990,24,86,250,약,소형,동북동,12,0
2012년 09월 28일 09시,24,35.4,145.8,994,21,76,200,약,소형,북동,21,150
2012년 09월 28일 09시,48,41.8,157.3,998,-1,-4,0,-,-,동북동,51,0
2012년 09월 28일 15시,0,31.9,143.1,990,24,86,250,약,소형,동북동,12,0
2012년 09월 28일 15시,24,36.6,147.7,994,21,76,200,약,소형,북동,28,150
2012년 09월 28일 15시,48,41.8,159.1,998,-1,-4,0,-,-,동북동,48,0
2012년 09월 28일 21시,0,32.4,144.3,990,24,86,250,약,소형,동북동,21,0
2012년 09월 28일 21시,24,37.5,149.5,994,21,76,200,약,소형,북동,31,150
2012년 09월 28일 21시,48,42.2,160.5,998,-1,-4,0,-,-,동북동,45,0
2012년 09월 29일 03시,0,33.3,145.4,990,24,86,250,약,소형,북동,24,0
2012년 09월 29일 03시,24,38.9,151.9,994,21,76,200,약,소형,북동,36,150
2012년 09월 29일 03시,48,42.5,163.5,998,-1,-4,0,-,-,동북동,44,0
2012년 09월 29일 09시,0,34.1,145.8,990,24,86,250,약,소형,북북동,16,0
2012년 09월 29일 09시,24,40.4,153.4,998,-1,-4,0,-,-,북동,40,0
2012년 09월 29일 15시,0,36.1,146.9,990,24,86,250,약,소형,북북동,41,0
2012년 09월 29일 15시,24,41.5,156.3,998,-1,-4,0,-,-,동북동,42,0
2012년 09월 29일 21시,0,37.7,149.5,992,22,79,200,약,소형,동북동,49,0
2012년 09월 29일 21시,24,43,159.9,1000,-1,-4,0,-,-,동북동,44,0
2012년 09월 30일 03시,0,39,151.8,996,19,68,170,약,소형,동북동,41,0
2012년 09월 30일 03시,24,43.1,165.1,1004,-1,-4,0,-,-,동북동,50,0
2012년 09월 30일 09시,0,40.8,154.4,1000,-1,-4,0,-,-,북동,50,0
