일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2005년 08월 21일 15시,0,25,148.4,998,18,65,330,약,중형,북북서,17,null
2005년 08월 21일 15시,24,27.7,146.5,992,22,79,350,약,중형,북서,19,150
2005년 08월 21일 15시,48,30.9,144.4,990,23,83,350,약,중형,북북서,21,250
2005년 08월 21일 15시,72,35,143.9,990,23,83,350,약,중형,북,23,400
2005년 08월 22일 09시,0,26.9,147,980,28,101,350,중,중형,북서,14,null
2005년 08월 22일 09시,24,31.6,145.8,975,31,112,350,중,중형,북북서,28,150
2005년 08월 22일 09시,48,37.5,149.1,985,27,97,300,중,중형,북북동,36,250
2005년 08월 22일 09시,72,42.2,156.1,996,null,null,null,null,null,북동,38,400
2005년 08월 23일 09시,0,31.4,146.2,985,26,94,330,중,중형,북,25,null
2005년 08월 23일 09시,24,36.1,150.2,985,27,97,330,중,중형,북동,32,150
2005년 08월 23일 09시,48,39.8,158.2,990,null,null,null,null,null,동북동,39,250
2005년 08월 24일 09시,0,35.6,151.2,980,28,101,330,중,중형,북동,38,null
2005년 08월 24일 09시,12,37.9,155.1,985,27,97,300,중,중형,동북동,42,150
2005년 08월 24일 09시,24,41,159.2,985,null,null,null,null,null,북동,47,250
2005년 08월 25일 09시,0,40.8,160.4,985,26,94,330,중,중형,동북동,53,null
2005년 08월 25일 09시,12,44.3,164.4,985,null,null,null,null,null,북동,47,80
2005년 08월 25일 21시,0,45.3,164.3,992,null,null,null,null,null,북북동,37,null
