일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2018년 02월 11일 15시,0,6.6,135.8,1002,18,65,180,약,소형,서북서,27,0
2018년 02월 11일 15시,24,8.3,130.3,992,23,83,220,약,소형,서북서,26,140
2018년 02월 11일 15시,48,9.1,125.2,985,27,97,250,중,소형,서,24,230
2018년 02월 11일 15시,72,9.2,121.1,992,23,83,220,약,소형,서,19,320
2018년 02월 11일 15시,96,9.8,116.9,996,20,72,200,약,소형,서,19,460
2018년 02월 11일 15시,120,10.8,113.7,998,19,68,180,약,소형,서북서,15,550
2018년 02월 11일 21시,0,7.2,134.4,1000,18,65,180,약,소형,서북서,28,0
2018년 02월 11일 21시,24,8.7,129,990,24,86,230,약,소형,서북서,26,140
2018년 02월 11일 21시,48,9.2,123.8,992,23,83,230,약,소형,서,24,230
2018년 02월 11일 21시,72,9,119.7,994,21,76,220,약,소형,서,19,320
2018년 02월 11일 21시,96,9.7,116.3,996,20,72,200,약,소형,서,16,460
2018년 02월 11일 21시,120,10.8,113.6,998,19,68,180,약,소형,서북서,14,550
2018년 02월 12일 03시,0,7.4,133.2,998,19,68,180,약,소형,서,22,0
2018년 02월 12일 03시,24,8.5,127.8,990,24,86,220,약,소형,서북서,25,140
2018년 02월 12일 03시,48,9.2,123,994,21,76,200,약,소형,서,22,230
2018년 02월 12일 03시,72,9,118.5,994,21,76,200,약,소형,서,21,320
2018년 02월 12일 03시,96,10.8,114.8,996,20,72,180,약,소형,서북서,19,460
2018년 02월 12일 03시,120,11.9,112.3,998,19,68,170,약,소형,서북서,12,550
2018년 02월 12일 09시,0,7,132,998,19,68,200,약,소형,서남서,23,0
2018년 02월 12일 09시,24,8.5,126.6,990,24,86,250,약,소형,서북서,26,140
2018년 02월 12일 09시,48,9,121.8,994,21,76,200,약,소형,서,22,230
2018년 02월 12일 09시,72,9.5,117.1,994,21,76,200,약,소형,서,22,320
2018년 02월 12일 09시,96,11.1,114,998,19,68,170,약,소형,서북서,16,460
2018년 02월 12일 09시,120,12.3,111.1,998,19,68,170,약,소형,서북서,14,550
2018년 02월 12일 15시,0,6.9,130.8,998,19,68,200,약,소형,서,22,0
2018년 02월 12일 15시,24,8.4,125.3,994,21,76,230,약,소형,서북서,25,140
2018년 02월 12일 15시,48,8.8,120.3,994,21,76,230,약,소형,서,23,230
2018년 02월 12일 15시,72,9.8,115.6,996,20,72,200,약,소형,서,22,320
2018년 02월 12일 15시,96,11.3,113,998,19,68,170,약,소형,서북서,14,460
2018년 02월 12일 15시,120,12.1,110.2,1000,18,65,160,약,소형,서북서,13,550
2018년 02월 12일 21시,0,7.5,129.5,998,19,68,200,약,소형,서북서,26,0
2018년 02월 12일 21시,24,8.6,123.8,996,20,72,200,약,소형,서북서,27,140
2018년 02월 12일 21시,48,9,118.4,994,21,76,230,약,소형,서,25,230
2018년 02월 12일 21시,72,10,114.5,996,20,72,200,약,소형,서북서,18,320
2018년 02월 12일 21시,96,11.5,111.9,998,19,68,170,약,소형,서북서,14,460
2018년 02월 12일 21시,120,12.3,108.8,1000,-1,-4,0,-,-,서북서,15,0
2018년 02월 13일 03시,0,8.1,128.2,998,19,68,200,약,소형,서북서,26,0
2018년 02월 13일 03시,24,8.9,122.6,998,19,68,180,약,소형,서,26,140
2018년 02월 13일 03시,48,9.4,117.2,996,20,72,200,약,소형,서,25,230
2018년 02월 13일 03시,72,10.6,113.6,998,19,68,180,약,소형,서북서,18,320
2018년 02월 13일 03시,96,11.9,111,1000,18,65,160,약,소형,서북서,13,460
2018년 02월 13일 03시,120,12.7,107.9,1002,-1,-4,0,-,-,서북서,14,0
2018년 02월 13일 09시,0,8.9,126.4,998,19,68,180,약,소형,서북서,36,0
2018년 02월 13일 09시,24,9.7,120.4,998,19,68,180,약,소형,서,28,140
2018년 02월 13일 09시,48,10.1,115.9,998,19,68,160,약,소형,서,21,230
2018년 02월 13일 09시,72,11.1,112.2,1000,18,65,150,약,소형,서북서,17,320
2018년 02월 13일 09시,96,11.9,108.5,1002,-1,-4,0,-,-,서북서,17,0
2018년 02월 13일 15시,0,9.6,125,1000,18,65,150,약,소형,서북서,29,0
2018년 02월 13일 15시,24,10,119.1,998,19,68,170,약,소형,서,27,140
2018년 02월 13일 15시,48,10.7,114.8,998,19,68,170,약,소형,서,20,230
2018년 02월 13일 15시,72,11.6,111.8,1000,18,65,150,약,소형,서북서,14,320
2018년 02월 13일 15시,96,12.4,108.4,1004,-1,-4,0,-,-,서북서,16,0
2018년 02월 13일 21시,0,9.2,123.6,1000,18,65,150,약,소형,서남서,27,0
2018년 02월 13일 21시,24,9.8,118.6,998,19,68,160,약,소형,서,23,140
2018년 02월 13일 21시,48,10.6,114.4,998,19,68,160,약,소형,서,20,230
2018년 02월 13일 21시,72,11.4,111.4,1002,18,65,150,약,소형,서북서,14,320
2018년 02월 13일 21시,96,11.8,108.3,1004,-1,-4,0,-,-,서,14,0
2018년 02월 14일 03시,0,8.8,122.1,1000,18,65,150,약,소형,서남서,28,0
2018년 02월 14일 03시,24,9.3,117.6,1000,18,65,150,약,소형,서,21,140
2018년 02월 14일 03시,48,10.2,113.9,1000,18,65,150,약,소형,서북서,18,230
2018년 02월 14일 03시,72,11,110.5,1002,-1,-4,0,-,-,서북서,16,0
2018년 02월 14일 09시,0,8.5,120.3,1002,18,65,150,약,소형,서,33,0
2018년 02월 14일 09시,24,8.9,116.7,1002,18,65,150,약,소형,서,17,140
2018년 02월 14일 09시,48,9.8,112.8,1006,-1,-4,0,-,-,서북서,18,0
2018년 02월 14일 15시,0,8.1,119.9,1002,18,65,150,약,소형,남서,10,0
2018년 02월 14일 15시,24,8.7,115.7,1004,18,65,130,약,소형,서,19,140
2018년 02월 14일 15시,48,9.4,112.1,1006,-1,-4,0,-,-,서,17,0
2018년 02월 14일 21시,0,8,119,1002,18,65,130,약,소형,서,17,0
2018년 02월 14일 21시,24,8.5,114.9,1002,18,65,100,약,소형,서,19,140
2018년 02월 14일 21시,48,9.2,110.9,1008,-1,-4,0,-,-,서,18,0
2018년 02월 15일 03시,0,7.5,118.5,1002,18,65,130,약,소형,남서,13,0
2018년 02월 15일 03시,24,8.2,114.3,1006,-1,-4,0,-,-,서,20,0
2018년 02월 15일 09시,0,8.1,118.5,1004,-1,-4,0,-,-,북,11,0
