일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2009년 05월 03일 21시,0,9.9,111.6,998,17,61,200,약,소형,북동,5,0
2009년 05월 03일 21시,24,10.8,112.8,990,23,83,230,약,소형,북동,7,150
2009년 05월 03일 21시,48,11.9,114.5,985,25,90,250,중,소형,동북동,10,250
2009년 05월 03일 21시,72,12.5,116.4,980,28,101,250,중,소형,동북동,10,400
2009년 05월 04일 03시,0,10.1,111.7,996,18,65,250,약,소형,북북동,5,0
2009년 05월 04일 03시,24,11.4,112.9,990,23,83,260,약,소형,북동,9,150
2009년 05월 04일 03시,48,12.7,114.8,985,25,90,280,중,소형,동북동,11,250
2009년 05월 04일 03시,72,13.7,117.1,980,28,101,300,중,중형,동북동,12,400
2009년 05월 04일 09시,0,10.7,112.2,996,18,65,250,약,소형,북북동,6,0
2009년 05월 04일 09시,24,12,113,990,23,83,260,약,소형,북북동,8,150
2009년 05월 04일 09시,48,13.7,115.1,985,25,90,280,중,소형,북동,13,250
2009년 05월 04일 09시,72,14.4,117.3,980,28,101,300,중,중형,동북동,11,400
2009년 05월 04일 15시,0,10.9,112.4,990,23,83,250,약,소형,북동,8,0
2009년 05월 04일 15시,24,12.8,113.2,985,27,97,260,중,소형,북북동,10,150
2009년 05월 04일 15시,48,14.4,115.4,980,30,108,280,중,소형,북동,13,250
2009년 05월 04일 15시,72,14.7,117.8,975,33,119,300,강,중형,동,11,400
2009년 05월 04일 21시,0,11.2,112.2,990,24,86,250,약,소형,북북서,7,0
2009년 05월 04일 21시,24,12.9,113.2,985,27,97,260,중,소형,북북동,10,150
2009년 05월 04일 21시,48,14.5,115.5,980,31,112,280,중,소형,북동,13,250
2009년 05월 04일 21시,72,14.9,118,975,34,122,300,강,중형,동,12,400
2009년 05월 05일 03시,0,11.3,112.1,990,24,86,250,약,소형,북서,3,0
2009년 05월 05일 03시,24,12.7,112.7,985,27,97,260,중,소형,북북동,8,150
2009년 05월 05일 03시,48,14,115.3,980,31,112,280,중,소형,동북동,14,250
2009년 05월 05일 03시,72,15,118.2,975,34,122,300,강,중형,동북동,14,400
2009년 05월 05일 09시,0,11.5,112,985,27,97,260,중,소형,북북서,5,0
2009년 05월 05일 09시,24,13,113,975,34,122,300,강,중형,북북동,9,150
2009년 05월 05일 09시,48,14,115.5,970,36,130,320,강,중형,동북동,13,250
2009년 05월 05일 09시,72,15.2,118.3,980,31,112,280,중,소형,동북동,14,400
2009년 05월 05일 15시,0,12.1,111.8,985,27,97,260,중,소형,북북서,12,0
2009년 05월 05일 15시,24,13.5,113.4,975,34,122,300,강,중형,북동,10,150
2009년 05월 05일 15시,48,14.5,116.2,970,36,130,320,강,중형,동북동,14,250
2009년 05월 05일 15시,72,15.5,119.3,985,27,97,260,중,소형,동북동,15,400
2009년 05월 05일 21시,0,12.7,111.7,985,26,94,260,중,소형,북,11,0
2009년 05월 05일 21시,24,13.8,113.5,975,34,122,300,강,중형,동북동,10,150
2009년 05월 05일 21시,48,15,116.5,970,36,130,320,강,중형,동북동,15,250
2009년 05월 05일 21시,72,16,119,985,26,94,260,중,소형,동북동,13,400
2009년 05월 06일 03시,0,13.3,112.3,975,31,112,280,중,소형,북동,15,0
2009년 05월 06일 03시,24,14.1,114,970,33,119,300,강,중형,동북동,9,150
2009년 05월 06일 03시,48,15.1,116.8,975,31,112,280,중,소형,동북동,14,250
2009년 05월 06일 03시,72,16.2,119.2,980,28,101,250,중,소형,동북동,12,400
2009년 05월 06일 09시,0,13.5,113,975,31,112,280,중,소형,동북동,14,0
2009년 05월 06일 09시,24,14.6,115.4,970,35,126,300,강,중형,동북동,13,150
2009년 05월 06일 09시,48,15.4,117.6,975,31,112,280,중,소형,동북동,11,250
2009년 05월 06일 09시,72,16.6,119.5,980,31,112,250,중,소형,동북동,11,400
2009년 05월 06일 15시,0,14,113.9,975,31,112,280,중,소형,동북동,19,0
2009년 05월 06일 15시,24,14.9,116.7,970,33,119,300,강,중형,동북동,15,150
2009년 05월 06일 15시,48,16.1,118.9,975,31,112,280,중,소형,동북동,11,250
2009년 05월 06일 15시,72,17.8,119,980,31,112,250,중,소형,북,8,400
