일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2016년 09월 06일 09시,0,25.2,125.5,1000,18,65,150,약,소형,동북동,9,0
2016년 09월 06일 09시,24,29.8,131.7,994,21,76,160,약,소형,북동,33,140
2016년 09월 06일 09시,48,34.1,139.1,990,24,86,170,약,소형,동북동,35,230
2016년 09월 06일 09시,72,40.4,145.4,992,-1,-4,0,-,-,북동,37,0
2016년 09월 06일 15시,0,26.5,127.1,1000,18,65,160,약,소형,북동,36,0
2016년 09월 06일 15시,24,31.1,133.7,992,23,83,170,약,소형,북동,34,140
2016년 09월 06일 15시,48,35.8,140.8,992,23,83,170,약,소형,동북동,35,230
2016년 09월 06일 15시,72,41.7,147,994,-1,-4,0,-,-,북동,35,0
2016년 09월 06일 21시,0,28.2,128,998,19,68,160,약,소형,북북동,35,0
2016년 09월 06일 21시,24,32.4,135.2,992,23,83,170,약,소형,북동,34,140
2016년 09월 06일 21시,48,37.3,141.8,992,23,83,160,약,소형,북동,34,230
2016년 09월 06일 21시,72,43,148.9,996,-1,-4,0,-,-,북동,37,0
2016년 09월 07일 03시,0,29.2,129.1,998,19,68,160,약,소형,북동,26,0
2016년 09월 07일 03시,24,33.4,136.9,992,23,83,170,약,소형,동북동,32,140
2016년 09월 07일 03시,48,38.4,143.5,992,23,83,160,약,소형,북동,34,230
2016년 09월 07일 03시,72,43.5,149.5,996,-1,-4,0,-,-,북동,32,0
2016년 09월 07일 09시,0,29.4,130.1,998,19,68,170,약,소형,동북동,17,0
2016년 09월 07일 09시,24,34.1,138.1,994,21,76,180,약,소형,동북동,34,140
2016년 09월 07일 09시,48,40.2,145.1,996,-1,-4,0,-,-,북동,38,0
2016년 09월 07일 15시,0,30.3,132,998,19,68,170,약,소형,동북동,35,0
2016년 09월 07일 15시,24,34.8,139.6,996,20,72,180,약,소형,동북동,36,140
2016년 09월 07일 15시,48,41.9,145.8,996,-1,-4,0,-,-,북동,40,0
2016년 09월 07일 21시,0,31,135.1,998,19,68,160,약,소형,동북동,51,0
2016년 09월 07일 21시,24,35,141.2,996,20,72,180,약,소형,동북동,30,140
2016년 09월 07일 21시,48,42.5,147.7,996,-1,-4,0,-,-,북동,42,0
2016년 09월 08일 03시,0,32.3,137.5,1002,-1,-4,0,-,-,동북동,45,0
