일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2014년 04월 28일 09시,0,12.4,146.7,1000,18,65,180,약,소형,북,9,0
2014년 04월 28일 09시,24,14.4,146.1,996,19,68,200,약,소형,북북서,10,150
2014년 04월 28일 09시,48,16.1,144.6,994,21,76,220,약,소형,북서,10,250
2014년 04월 28일 09시,72,18,142.8,998,18,65,190,약,소형,북서,12,400
2014년 04월 28일 09시,96,20,141.6,1000,18,65,180,약,소형,북북서,10,550
2014년 04월 28일 09시,120,21.5,141.9,1004,-1,-4,0,-,-,북,7,0
2014년 04월 28일 15시,0,13.1,147.1,998,18,65,180,약,소형,북북동,15,0
2014년 04월 28일 15시,24,15.1,145.8,996,19,68,200,약,소형,북북서,11,150
2014년 04월 28일 15시,48,17,144,994,21,76,220,약,소형,북서,12,250
2014년 04월 28일 15시,72,19.1,142.3,996,19,68,220,약,소형,북서,12,400
2014년 04월 28일 15시,96,20.6,141.6,998,18,65,180,약,소형,북북서,7,550
2014년 04월 28일 15시,120,21.9,141.9,1002,-1,-4,0,-,-,북,6,0
2014년 04월 28일 21시,0,13.9,147.5,998,18,65,180,약,소형,북북동,16,0
2014년 04월 28일 21시,24,16.6,146.2,996,19,68,200,약,소형,북북서,14,150
2014년 04월 28일 21시,48,18.8,144.4,994,21,76,220,약,소형,북서,13,250
2014년 04월 28일 21시,72,21.1,142.7,996,19,68,200,약,소형,북서,13,400
2014년 04월 28일 21시,96,22.7,142.4,998,18,65,180,약,소형,북,8,550
2014년 04월 28일 21시,120,23.7,143.4,1002,-1,-4,0,-,-,북동,6,0
2014년 04월 29일 03시,0,14.9,147.6,992,22,79,200,약,소형,북,19,0
2014년 04월 29일 03시,24,17.4,146.4,990,24,86,220,약,소형,북북서,13,150
2014년 04월 29일 03시,48,19.5,144.3,992,22,79,200,약,소형,북서,13,250
2014년 04월 29일 03시,72,22.2,143,996,19,68,180,약,소형,북북서,13,400
2014년 04월 29일 03시,96,24.4,144.4,1002,-1,-4,0,-,-,북북동,12,0
2014년 04월 29일 09시,0,15.5,147.3,990,24,86,230,약,소형,북북서,12,0
2014년 04월 29일 09시,24,17.9,145.8,985,27,97,250,중,소형,북북서,13,150
2014년 04월 29일 09시,48,20.3,143.6,985,27,97,220,중,소형,북서,15,250
2014년 04월 29일 09시,72,23.5,143.6,992,22,79,180,약,소형,북,15,400
2014년 04월 29일 09시,96,30.7,150,1002,-1,-4,0,-,-,북동,44,0
2014년 04월 29일 15시,0,16.5,147.3,980,31,112,250,중,소형,북,19,0
2014년 04월 29일 15시,24,18.8,145.3,975,34,122,270,강,소형,북서,14,150
2014년 04월 29일 15시,48,21.5,143.2,985,27,97,230,중,소형,북서,15,250
2014년 04월 29일 15시,72,26.6,146.2,996,-1,-4,0,-,-,북북동,27,0
2014년 04월 29일 21시,0,17,147.4,980,31,112,250,중,소형,북북동,9,0
2014년 04월 29일 21시,24,19.6,145,980,31,112,250,중,소형,북서,16,150
2014년 04월 29일 21시,48,22,143.3,990,24,86,180,약,소형,북서,13,250
2014년 04월 29일 21시,72,26.6,146.3,1000,-1,-4,0,-,-,북북동,25,0
2014년 04월 30일 03시,0,18,147.5,980,31,112,250,중,소형,북,19,0
2014년 04월 30일 03시,24,20.2,145.5,980,31,112,250,중,소형,북서,13,150
2014년 04월 30일 03시,48,23.8,144.6,990,24,86,180,약,소형,북,17,250
2014년 04월 30일 03시,72,28,149.5,1002,-1,-4,0,-,-,북동,28,0
2014년 04월 30일 09시,0,18.8,147.2,980,31,112,230,중,소형,북북서,16,0
2014년 04월 30일 09시,24,21.6,145.3,990,24,86,180,약,소형,북서,16,150
2014년 04월 30일 09시,48,25,145.9,1000,-1,-4,0,-,-,북,16,0
2014년 04월 30일 15시,0,19.3,147.1,980,31,112,220,중,소형,북북서,9,0
2014년 04월 30일 15시,24,22,145,992,22,79,180,약,소형,북서,15,150
2014년 04월 30일 15시,48,25.5,146.1,1002,-1,-4,0,-,-,북북동,17,0
2014년 04월 30일 21시,0,19.6,147,985,27,97,200,중,소형,북북서,6,0
2014년 04월 30일 21시,24,22.5,145.4,992,22,79,180,약,소형,북북서,15,150
2014년 04월 30일 21시,48,25.8,146.7,1002,-1,-4,0,-,-,북북동,16,0
2014년 05월 01일 03시,0,20.3,146.7,990,24,86,180,약,소형,북북서,14,0
2014년 05월 01일 03시,24,22.9,145.3,998,18,65,160,약,소형,북북서,15,150
2014년 05월 01일 03시,48,26.3,148,1004,-1,-4,0,-,-,북동,19,0
2014년 05월 01일 09시,0,21.3,145.3,998,18,65,180,약,소형,북서,31,0
2014년 05월 01일 09시,24,24.2,144.8,1002,-1,-4,0,-,-,북,14,0
2014년 05월 01일 15시,0,21.9,144.4,1004,-1,-4,0,-,-,서북서,19,0
