일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2007년 09월 23일 21시,0,19.3,114,992,18,65,250,약,소형,서,17,null
2007년 09월 23일 21시,24,19.6,110.6,990,23,83,250,약,소형,서,15,150
2007년 09월 23일 21시,48,20.4,107.5,990,23,83,250,약,소형,서북서,14,250
2007년 09월 23일 21시,72,20.9,104.6,998,17,61,200,약,소형,서,13,400
2007년 09월 24일 09시,0,19.8,111.3,990,23,83,280,약,소형,서,19,null
2007년 09월 24일 09시,24,20,107.2,992,22,79,230,약,소형,서,18,150
2007년 09월 24일 09시,48,20.3,104,998,null,null,null,null,null,서,14,0
2007년 09월 24일 21시,0,19.8,109.4,994,17,61,180,약,소형,서,22,null
2007년 09월 24일 21시,24,20.2,105.5,998,null,null,null,null,null,서,17,0
2007년 09월 25일 09시,0,19.5,107.9,996,17,61,150,약,소형,서,13,null
2007년 09월 25일 09시,12,19.6,106.1,998,null,null,null,null,null,서,16,0
2007년 09월 25일 15시,0,20,108,1004,null,null,null,null,null,서,7,null
