일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2008년 05월 27일 15시,0,14.3,137.6,1000,18,65,180,약,소형,북북서,7,null
2008년 05월 27일 15시,24,15.8,136.9,990,23,83,200,약,소형,북북서,8,150
2008년 05월 27일 15시,48,17.7,136.5,980,30,108,250,중,소형,북북서,9,250
2008년 05월 27일 15시,72,19.9,136.3,970,35,126,300,강,중형,북,10,400
2008년 05월 27일 21시,0,14.3,137.4,996,19,68,180,약,소형,북북서,10,null
2008년 05월 27일 21시,24,16.4,136.8,985,27,97,200,중,소형,북북서,10,150
2008년 05월 27일 21시,48,18,136.4,970,35,126,270,강,소형,북북서,8,250
2008년 05월 27일 21시,72,19.9,136.2,960,39,140,330,강,중형,북,9,400
2008년 05월 28일 09시,0,14.8,137.1,985,26,94,200,중,소형,북북서,6,null
2008년 05월 28일 09시,24,15.7,135.9,975,33,119,230,강,소형,북서,7,150
2008년 05월 28일 09시,48,17,134.6,965,37,133,300,강,중형,북서,8,250
2008년 05월 28일 09시,72,18.7,133.4,955,41,148,350,강,중형,북서,10,400
2008년 05월 28일 21시,0,15.8,136.7,975,31,112,200,중,소형,북북서,8,null
2008년 05월 28일 21시,24,16.9,135.7,965,37,133,250,강,소형,북서,7,150
2008년 05월 28일 21시,48,18.4,134.7,955,41,148,300,강,중형,북북서,8,250
2008년 05월 28일 21시,72,20,134,950,43,155,350,강,중형,북북서,8,400
2008년 05월 29일 09시,0,16,136.3,950,43,155,300,강,중형,북북서,8,null
2008년 05월 29일 09시,24,17.9,134.8,930,49,176,400,매우강,중형,북서,11,150
2008년 05월 29일 09시,48,21.2,134.5,920,52,187,450,매우강,중형,북,15,250
2008년 05월 29일 09시,72,24.7,136.8,940,46,166,350,매우강,중형,북북동,19,400
2008년 05월 29일 21시,0,16.2,135.5,930,49,176,350,매우강,중형,북서,8,null
2008년 05월 29일 21시,24,18.5,134.1,920,52,187,400,매우강,중형,북북서,13,150
2008년 05월 29일 21시,48,21.8,135.2,930,49,176,350,매우강,중형,북북동,16,250
2008년 05월 29일 21시,72,25.3,138.2,950,43,155,300,강,중형,북동,20,400
2008년 05월 30일 09시,0,16.6,134.7,930,49,176,350,매우강,중형,북서,8,null
2008년 05월 30일 09시,24,19,133.5,920,52,187,400,매우강,중형,북북서,13,150
2008년 05월 30일 09시,48,21.7,134.1,930,49,176,350,매우강,중형,북북동,13,250
2008년 05월 30일 09시,72,25.6,136.1,955,41,148,300,강,중형,북북동,20,400
2008년 05월 30일 21시,0,17.3,133.5,945,45,162,300,매우강,중형,서북서,16,null
2008년 05월 30일 21시,24,20.1,133.2,945,45,162,300,매우강,중형,북,13,150
2008년 05월 30일 21시,48,23.2,134.7,960,39,140,280,강,소형,북북동,16,250
2008년 05월 30일 21시,72,26.6,137.2,970,35,126,250,강,소형,북동,19,400
2008년 05월 31일 09시,0,18.4,132.8,960,36,130,250,강,소형,북북서,13,null
2008년 05월 31일 09시,24,21.7,132.9,970,35,126,230,강,소형,북,15,150
2008년 05월 31일 09시,48,25,135,980,30,108,200,중,소형,북북동,18,250
2008년 05월 31일 09시,72,28.7,138.4,995,19,68,180,약,소형,북동,22,400
2008년 05월 31일 21시,0,19.7,132.8,970,33,119,230,강,소형,북,8,null
2008년 05월 31일 21시,24,23,133.3,980,30,108,200,중,소형,북,15,150
2008년 05월 31일 21시,48,27,136.1,990,23,83,180,약,소형,북동,22,250
2008년 05월 31일 21시,72,32,142,998,null,null,null,null,null,북동,33,0
2008년 06월 01일 09시,0,20.6,132.9,970,35,126,230,강,소형,북북동,9,null
2008년 06월 01일 09시,24,25.3,134.1,985,27,97,180,중,소형,북북동,23,150
2008년 06월 01일 09시,48,30.4,140,995,19,68,150,약,소형,북동,34,250
2008년 06월 01일 09시,72,34.1,149.6,1004,null,null,null,null,null,동북동,41,0
2008년 06월 01일 21시,0,22.3,133.3,970,33,119,230,강,소형,북,15,null
2008년 06월 01일 21시,24,27.5,135.9,990,23,83,180,약,소형,북북동,26,150
2008년 06월 01일 21시,48,32.7,143.4,998,null,null,null,null,null,북동,38,0
2008년 06월 02일 09시,0,25.1,134.3,965,35,126,230,강,소형,북북동,28,null
2008년 06월 02일 09시,24,31.5,139.3,995,21,76,180,약,소형,북동,36,150
2008년 06월 02일 09시,48,35.6,147.1,1000,null,null,null,null,null,동북동,35,0
2008년 06월 02일 21시,0,28.3,137.1,975,31,112,230,중,소형,북동,37,null
2008년 06월 02일 21시,24,33.9,143.8,1000,null,null,null,null,null,북동,37,0
2008년 06월 03일 09시,0,31.5,140.3,990,26,94,200,중,소형,북동,39,null
2008년 06월 03일 09시,24,35,150,1002,null,null,null,null,null,동북동,41,0
2008년 06월 03일 15시,0,33,143,992,null,null,null,null,null,북동,46,null
