일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2008년 08월 15일 15시,0,30.2,135.4,994,18,65,220,약,소형,북북동,26,null
2008년 08월 15일 15시,24,32.8,140.9,992,20,72,250,약,소형,동북동,25,150
2008년 08월 15일 15시,48,37.2,152.1,1000,null,null,null,null,null,동북동,47,0
2008년 08월 15일 21시,0,30.9,136.7,994,18,65,220,약,소형,동북동,24,null
2008년 08월 15일 21시,24,34,142.8,992,20,72,250,약,소형,동북동,28,150
2008년 08월 15일 21시,48,38.4,152.6,1000,null,null,null,null,null,동북동,42,0
2008년 08월 16일 03시,0,31.7,138.2,994,18,65,220,약,소형,동북동,27,null
2008년 08월 16일 03시,24,35.5,145.9,994,18,65,250,약,소형,동북동,35,150
2008년 08월 16일 03시,48,40.5,157.7,1000,null,null,null,null,null,동북동,49,0
2008년 08월 16일 09시,0,32.8,140.8,994,18,65,220,약,소형,동북동,35,null
2008년 08월 16일 09시,24,37.5,150,996,18,65,250,약,소형,동북동,41,150
2008년 08월 16일 09시,48,42.5,162.7,1000,null,null,null,null,null,동북동,51,0
2008년 08월 16일 15시,0,33.7,143,994,18,65,220,약,소형,동북동,37,null
2008년 08월 16일 15시,24,38.7,153.5,998,null,null,null,null,null,동북동,45,0
2008년 08월 16일 21시,0,34.6,145.4,992,20,72,250,약,소형,동북동,37,null
2008년 08월 16일 21시,24,41.2,157.2,1000,null,null,null,null,null,동북동,53,0
2008년 08월 17일 03시,0,35.9,148.2,992,20,72,250,약,소형,동북동,48,null
2008년 08월 17일 03시,24,42.1,159.7,1000,null,null,null,null,null,동북동,50,0
2008년 08월 17일 09시,0,37.7,151.3,994,20,72,250,약,소형,북동,56,null
2008년 08월 17일 09시,24,43.8,163.7,1000,null,null,null,null,null,동북동,52,0
2008년 08월 17일 15시,0,39,154,996,null,null,null,null,null,동북동,46,null
