일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2018년 07월 17일 09시,0,19.3,118.7,996,18,65,250,약,소형,서,53,null
2018년 07월 17일 09시,24,18.3,110,994,21,76,250,약,소형,서,38,110
2018년 07월 17일 09시,48,19.1,106.5,996,20,72,220,약,소형,서북서,16,170
2018년 07월 17일 09시,72,20.1,104.5,1000,15,54,0,-,-,서북서,10,0
2018년 07월 17일 15시,0,19.1,116.1,996,18,65,230,약,소형,서,46,null
2018년 07월 17일 15시,24,18.7,108.6,996,18,65,230,약,소형,서,33,110
2018년 07월 17일 15시,48,19.6,104.3,1000,15,54,0,-,-,서북서,19,0
2018년 07월 17일 21시,0,19.1,113.6,994,21,76,230,약,소형,서,44,null
2018년 07월 17일 21시,24,18.9,106.8,996,20,72,200,약,소형,서,30,110
2018년 07월 17일 21시,48,19.7,103,1002,15,54,0,-,-,서북서,17,0
2018년 07월 18일 03시,0,18.9,111.4,994,21,76,220,약,소형,서,39,null
2018년 07월 18일 03시,24,19.1,105.4,998,19,68,200,약,소형,서,26,110
2018년 07월 18일 03시,48,19.8,102.5,1002,15,54,0,-,-,서북서,13,0
2018년 07월 18일 09시,0,18.6,109.6,994,21,76,200,약,소형,서,32,null
2018년 07월 18일 09시,24,19.4,103.6,998,15,54,0,-,-,서,26,0
2018년 07월 18일 15시,0,18.6,108,994,21,76,200,약,소형,서,28,null
2018년 07월 18일 15시,24,19.6,102.3,1000,14,50,0,-,-,서,26,0
2018년 07월 18일 21시,0,18.8,106.7,994,21,76,200,약,소형,서,23,null
2018년 07월 18일 21시,24,19.8,101.3,1000,13,47,0,-,-,서,26,0
2018년 07월 19일 03시,0,19,105.7,994,21,76,150,약,소형,서북서,18,null
2018년 07월 19일 03시,24,20,100.4,1000,12,43,0,-,-,서,26,0
2018년 07월 19일 09시,0,18.8,104.8,998,15,54,0,-,-,서남서,16,null
