일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2018년 06월 15일 09시,0,22.6,120.6,992,18,65,120,약,소형,북,6,null
2018년 06월 15일 09시,24,25.9,126.6,992,18,65,150,약,소형,동북동,30,110
2018년 06월 15일 09시,48,28.4,131.8,992,18,65,0,-,-,동북동,24,0
2018년 06월 15일 15시,0,22.9,121.2,992,18,65,200,약,소형,동북동,12,null
2018년 06월 15일 15시,24,26.2,127.1,992,18,65,200,약,소형,동북동,30,110
2018년 06월 15일 15시,48,28.9,131.9,992,18,65,0,-,-,동북동,23,0
2018년 06월 15일 21시,0,24.6,123.5,992,18,65,200,약,소형,북동,50,null
2018년 06월 15일 21시,24,27.5,128.8,990,20,72,220,약,소형,동북동,41,110
2018년 06월 15일 21시,48,30.2,133.3,992,18,65,0,-,-,북동,52,0
2018년 06월 16일 03시,0,25.5,125.1,992,18,65,200,약,소형,동북동,32,null
2018년 06월 16일 03시,24,28.7,130.5,992,18,65,200,약,소형,동북동,39,110
2018년 06월 16일 03시,48,30.6,134,996,20,72,0,-,-,북동,52,0
2018년 06월 16일 09시,0,26.6,126.9,992,18,65,200,약,소형,동북동,36,null
2018년 06월 16일 09시,24,29,130.6,992,18,65,200,약,소형,동북동,19,110
2018년 06월 16일 09시,48,31.9,134.5,994,18,65,0,-,-,북동,21,0
2018년 06월 16일 15시,0,27.1,128.6,992,18,65,200,약,소형,동북동,30,null
2018년 06월 16일 15시,24,29.7,132.5,992,18,65,0,-,-,북동,20,0
2018년 06월 16일 21시,0,27.3,130.7,992,18,65,200,약,소형,동,35,null
2018년 06월 16일 21시,24,30.1,133,992,18,65,0,-,-,북동,16,0
2018년 06월 17일 03시,0,27.8,132.6,992,18,65,200,약,소형,동북동,33,null
2018년 06월 17일 03시,24,30.4,135.3,994,18,65,0,-,-,북동,16,0
2018년 06월 17일 09시,0,28.5,133,994,16,58,0,-,-,북북동,14,null
