일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2001년 08월 28일 09시,0,24.5,160.9,996,18,65,380,약,중형,서북서,15,null
2001년 08월 28일 09시,24,27.5,159.3,null,null,null,null,null,null,null,null,180
2001년 08월 28일 09시,48,32.5,157.5,null,null,null,null,null,null,null,null,330
2001년 08월 29일 09시,0,28.1,160.2,994,21,76,370,약,중형,북북서,17,null
2001년 08월 29일 09시,24,34.5,158.6,null,null,null,null,null,null,null,null,180
2001년 08월 29일 09시,48,42.7,162.6,null,null,null,null,null,null,null,null,400
2001년 08월 30일 09시,0,36.4,159.7,992,21,76,370,약,중형,북,40,null
2001년 08월 30일 09시,24,41.3,163.6,null,null,null,null,null,null,null,null,180
