일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2020년 08월 18일 09시,0,20.1,117,1000,18,65,150,-,-,서북서,22,null
2020년 08월 18일 09시,12,20.6,114.8,998,19,68,170,-,소형,서북서,19,60
2020년 08월 18일 09시,24,21.2,112.4,994,21,76,180,-,소형,서북서,22,120
2020년 08월 18일 09시,36,21.7,110.2,998,19,68,150,-,소형,서북서,19,150
2020년 08월 18일 09시,48,22.1,107.9,1000,15,54,0,-,-,서,20,0
2020년 08월 18일 15시,0,20.6,115.9,996,20,72,200,-,-,서북서,15,null
2020년 08월 18일 15시,12,21,113.6,992,23,83,220,-,소형,서,20,60
2020년 08월 18일 15시,24,21.5,111.3,996,20,72,220,-,소형,서북서,21,120
2020년 08월 18일 15시,36,22,108.9,1000,18,65,180,-,소형,서북서,20,150
2020년 08월 18일 15시,48,22.4,107.2,1002,15,54,0,-,-,서,16,0
2020년 08월 18일 21시,0,21.2,114.9,996,20,72,200,-,-,서북서,14,null
2020년 08월 18일 21시,12,21.7,112.9,994,21,76,210,-,소형,서북서,18,60
2020년 08월 18일 21시,24,22.8,110.5,998,19,68,190,-,소형,서북서,23,120
2020년 08월 18일 21시,36,23.6,108.4,1000,15,54,0,-,-,서북서,19,0
2020년 08월 19일 03시,0,21.6,113.8,994,24,86,190,-,-,서북서,22,null
2020년 08월 19일 03시,12,22.5,111.8,998,20,72,180,-,소형,서북서,19,60
2020년 08월 19일 03시,24,23.6,109.4,1002,15,54,0,-,-,서북서,23,0
2020년 08월 19일 09시,0,22.3,113,990,24,86,180,-,-,북서,29,null
2020년 08월 19일 09시,12,23.6,110.4,1000,15,54,0,-,-,서북서,25,0
2020년 08월 19일 15시,0,22.6,111.8,996,18,65,120,-,-,서북서,21,null
2020년 08월 19일 15시,12,23.5,109.5,1004,11,40,0,-,-,서북서,21,0
2020년 08월 19일 21시,0,23.1,110.9,1000,18,65,110,-,-,서북서,18,null
2020년 08월 19일 21시,12,23.9,108.6,1004,11,40,0,-,-,서북서,21,0
2020년 08월 20일 03시,0,23.5,109.7,1004,11,40,0,-,-,서북서,22,null
