일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2013년 09월 27일 15시,0,16.8,116.3,1000,18,65,200,약,소형,북서,15,0
2013년 09월 27일 15시,24,16.8,114.8,996,19,68,220,약,소형,서,7,140
2013년 09월 27일 15시,48,16.7,112.9,990,24,86,250,약,소형,서,8,230
2013년 09월 27일 15시,72,17.1,110.3,980,31,112,300,중,중형,서,12,320
2013년 09월 27일 15시,96,17.6,107.3,985,27,97,250,중,소형,서,13,460
2013년 09월 27일 15시,120,18.4,104.4,996,19,68,180,약,소형,서북서,13,550
2013년 09월 27일 21시,0,17.1,115.3,996,19,68,220,약,소형,서북서,19,0
2013년 09월 27일 21시,24,16.9,114,990,24,86,250,약,소형,서,6,140
2013년 09월 27일 21시,48,16.9,112.2,985,27,97,270,중,소형,서,8,230
2013년 09월 27일 21시,72,17.4,108.7,980,31,112,300,중,중형,서,16,320
2013년 09월 27일 21시,96,17.9,105.2,994,21,76,200,약,소형,서,16,460
2013년 09월 27일 21시,120,17.9,100.8,1002,-1,-4,0,-,-,서,20,0
2013년 09월 28일 03시,0,16.9,114.3,994,21,76,220,약,소형,서남서,18,0
2013년 09월 28일 03시,24,16.5,113.1,985,27,97,270,중,소형,서남서,6,140
2013년 09월 28일 03시,48,16.6,111,980,31,112,300,중,중형,서,9,230
2013년 09월 28일 03시,72,17.2,107.5,985,27,97,270,중,소형,서,16,320
2013년 09월 28일 03시,96,17.5,103.2,1000,-1,-4,0,-,-,서,19,0
2013년 09월 28일 09시,0,16.5,114.1,990,24,86,250,약,소형,남남서,8,0
2013년 09월 28일 09시,24,15.7,112.3,980,31,112,300,중,중형,서남서,9,140
2013년 09월 28일 09시,48,16.4,109.5,980,31,112,300,중,중형,서북서,13,230
2013년 09월 28일 09시,72,17.1,105.9,994,21,76,200,약,소형,서,16,320
2013년 09월 28일 09시,96,17.4,102,1000,-1,-4,0,-,-,서,17,0
2013년 09월 28일 15시,0,16.7,114.1,975,34,122,350,강,중형,북,4,0
2013년 09월 28일 15시,24,16,112,965,38,137,400,강,중형,서남서,10,140
2013년 09월 28일 15시,48,16.6,109.3,970,36,130,380,강,중형,서북서,12,230
2013년 09월 28일 15시,72,17.4,104.6,1000,-1,-4,0,-,-,서,20,0
2013년 09월 28일 21시,0,16.8,113.8,970,36,130,360,강,중형,서북서,6,0
2013년 09월 28일 21시,24,16.8,111.5,965,38,137,400,강,중형,서,10,140
2013년 09월 28일 21시,48,17.2,108.4,975,34,122,350,강,중형,서,14,230
2013년 09월 28일 21시,72,17.6,103.9,1000,-1,-4,0,-,-,서,20,0
2013년 09월 29일 03시,0,16.9,113.2,970,36,130,360,강,중형,서,11,0
2013년 09월 29일 03시,24,16.9,110.3,970,36,130,330,강,중형,서,13,140
2013년 09월 29일 03시,48,17.6,105.8,985,27,97,280,중,소형,서,20,230
2013년 09월 29일 03시,72,17.7,101.4,1002,-1,-4,0,-,-,서,19,0
2013년 09월 29일 09시,0,16.7,112.5,965,38,137,380,강,중형,서남서,13,0
2013년 09월 29일 09시,24,17,109.3,965,38,137,350,강,중형,서,14,140
2013년 09월 29일 09시,48,17.8,104.5,994,21,76,200,약,소형,서,22,230
2013년 09월 29일 09시,72,17.5,99.8,1004,-1,-4,0,-,-,서,21,0
2013년 09월 29일 15시,0,16.8,111.7,965,38,137,380,강,중형,서,14,0
2013년 09월 29일 15시,24,17.2,107.9,970,36,130,320,강,중형,서,17,140
2013년 09월 29일 15시,48,17.5,102.5,1000,-1,-4,0,-,-,서,24,0
2013년 09월 29일 21시,0,16.9,111,965,38,137,380,강,중형,서,13,0
2013년 09월 29일 21시,24,17.3,106.2,985,27,97,280,중,소형,서,22,140
2013년 09월 29일 21시,48,18.5,101.3,1002,-1,-4,0,-,-,서북서,22,0
2013년 09월 30일 03시,0,17,109.9,965,38,137,350,강,중형,서,20,0
2013년 09월 30일 03시,24,17.4,104.7,990,24,86,250,약,소형,서,23,140
2013년 09월 30일 03시,48,18.3,100.1,1004,-1,-4,0,-,-,서,21,0
2013년 09월 30일 09시,0,17.6,108.6,965,35,126,350,강,중형,서북서,26,0
2013년 09월 30일 09시,24,17.3,103.7,996,-1,-4,0,-,-,서,22,0
2013년 09월 30일 15시,0,17.6,107.4,965,35,126,350,강,중형,서,21,0
2013년 09월 30일 15시,24,16.9,102.7,1000,-1,-4,0,-,-,서,21,0
2013년 09월 30일 21시,0,17.8,105.7,985,27,97,200,중,소형,서,30,0
2013년 09월 30일 21시,24,17.5,100.5,1000,-1,-4,0,-,-,서,23,0
2013년 10월 01일 03시,0,18.1,103.9,994,21,76,150,약,소형,서,32,0
2013년 10월 01일 03시,12,17.6,100.8,1002,-1,-4,0,-,-,서,28,0
2013년 10월 01일 09시,0,18,101.8,1004,-1,-4,0,-,-,서,37,0
