일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2015년 09월 23일 03시,0,17.7,138.3,998,19,68,370,약,중형,서,34,0
2015년 09월 23일 03시,24,18.8,135.2,992,23,83,390,약,중형,서북서,17,140
2015년 09월 23일 03시,48,20.4,134,985,27,97,410,중,중형,북서,9,230
2015년 09월 23일 03시,72,22,133,975,32,115,430,중,중형,북북서,9,320
2015년 09월 23일 03시,96,25.4,133.3,965,37,133,450,강,중형,북,16,460
2015년 09월 23일 03시,120,29,134,960,39,140,470,강,중형,북,17,550
2015년 09월 23일 09시,0,17.7,136.9,996,20,72,300,약,중형,서,25,0
2015년 09월 23일 09시,24,18.9,134.9,992,23,83,320,약,중형,서북서,12,140
2015년 09월 23일 09시,48,20.6,133.3,985,27,97,340,중,중형,북서,11,230
2015년 09월 23일 09시,72,22.8,132.5,975,32,115,360,중,중형,북북서,11,320
2015년 09월 23일 09시,96,26.1,132.8,965,37,133,380,강,중형,북,14,460
2015년 09월 23일 09시,120,29.2,134,960,39,140,400,강,중형,북북동,15,550
2015년 09월 23일 15시,0,19.3,135.9,996,20,72,300,약,중형,북북서,34,0
2015년 09월 23일 15시,24,19.8,133.5,990,24,86,320,약,중형,서북서,11,140
2015년 09월 23일 15시,48,20.7,132.3,980,29,104,340,중,중형,북서,7,230
2015년 09월 23일 15시,72,22.9,131.1,975,32,115,360,중,중형,북북서,11,320
2015년 09월 23일 15시,96,25.6,131.1,970,35,126,380,강,중형,북,13,460
2015년 09월 23일 15시,120,28.3,132.2,965,37,133,400,강,중형,북북동,13,550
2015년 09월 23일 21시,0,19.3,134.9,996,20,72,300,약,중형,서,17,0
2015년 09월 23일 21시,24,19.6,133.2,990,24,86,320,약,중형,서북서,9,140
2015년 09월 23일 21시,48,21,132.1,980,29,104,340,중,중형,북서,7,230
2015년 09월 23일 21시,72,22.8,130.5,975,32,115,360,중,중형,북서,11,320
2015년 09월 23일 21시,96,24.7,129.6,970,35,126,370,강,중형,북북서,10,460
2015년 09월 23일 21시,120,26.6,128.5,965,37,133,380,강,중형,북북서,10,550
2015년 09월 24일 03시,0,19.2,134,994,21,76,310,약,중형,서,16,0
2015년 09월 24일 03시,24,19.6,132.1,990,24,86,320,약,중형,서,8,140
2015년 09월 24일 03시,48,20.6,130.7,980,29,104,340,중,중형,북서,8,230
2015년 09월 24일 03시,72,22,129.1,970,35,126,350,강,중형,북서,9,320
2015년 09월 24일 03시,96,24.5,126.1,960,39,140,370,강,중형,북서,17,460
2015년 09월 24일 03시,120,26.7,122.5,965,37,133,360,강,중형,서북서,18,550
2015년 09월 24일 09시,0,18.2,132.8,992,23,83,310,약,중형,남서,28,0
2015년 09월 24일 09시,24,18.9,131,985,27,97,340,중,중형,서북서,9,140
2015년 09월 24일 09시,48,20.9,129.9,970,35,126,360,강,중형,북북서,13,230
2015년 09월 24일 09시,72,22.8,127.5,965,37,133,370,강,중형,북서,15,320
2015년 09월 24일 09시,96,24.6,125,960,39,140,390,강,중형,북서,15,460
2015년 09월 24일 09시,120,25.4,121.4,965,37,133,370,강,중형,서북서,16,550
2015년 09월 24일 15시,0,18.4,132.6,990,24,86,320,약,중형,북서,5,0
2015년 09월 24일 15시,24,19.9,131,980,29,104,330,중,중형,북서,10,140
2015년 09월 24일 15시,48,21.5,129.7,970,35,126,360,강,중형,북서,13,230
2015년 09월 24일 15시,72,23.4,127.2,960,39,140,390,강,중형,북서,14,320
2015년 09월 24일 15시,96,24.9,124.8,960,39,140,390,강,중형,서북서,12,460
2015년 09월 24일 15시,120,26.3,121.3,965,37,133,370,강,중형,서북서,16,550
2015년 09월 24일 21시,0,18.6,132.2,985,27,97,320,중,중형,서북서,8,0
2015년 09월 24일 21시,24,19.7,131,975,32,115,330,중,중형,북서,7,140
2015년 09월 24일 21시,48,22,128.8,965,37,133,350,강,중형,북서,14,230
2015년 09월 24일 21시,72,23.8,126.3,955,40,144,390,강,중형,북서,14,320
