일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2019년 02월 20일 03시,0,5.1,155.2,1000,18,65,250,약,소형,서,18,null
2019년 02월 20일 03시,24,6.2,151.8,990,24,86,280,약,소형,서북서,16,110
2019년 02월 20일 03시,48,7.7,148.6,975,32,115,300,중,중형,서북서,16,170
2019년 02월 20일 03시,72,9.6,145.5,960,39,140,330,강,중형,서북서,16,260
2019년 02월 20일 03시,96,11.4,142.7,955,40,144,350,강,중형,서북서,16,370
2019년 02월 20일 03시,120,13.3,140.1,960,39,140,330,강,중형,북서,15,480
2019년 02월 20일 09시,0,4.8,154.7,996,20,72,250,약,소형,서남서,11,null
2019년 02월 20일 09시,24,6.2,150.9,985,27,97,280,중,소형,서북서,18,110
2019년 02월 20일 09시,48,8,147.6,970,35,126,300,강,중형,서북서,17,170
2019년 02월 20일 09시,72,10,144.5,960,39,140,330,강,중형,서북서,17,260
2019년 02월 20일 09시,96,12.1,141.6,955,40,144,350,강,중형,북서,16,370
2019년 02월 20일 09시,120,13.7,139.8,960,39,140,330,강,중형,북서,11,480
2019년 02월 20일 15시,0,4.9,153.8,990,24,86,280,약,소형,서,17,null
2019년 02월 20일 15시,24,6.5,150,975,32,115,300,중,중형,서북서,19,110
2019년 02월 20일 15시,48,8.9,146,960,39,140,330,강,중형,서북서,22,170
2019년 02월 20일 15시,72,11.2,142.9,955,40,144,350,강,중형,북서,18,260
2019년 02월 20일 15시,96,12.9,141.2,950,43,155,370,강,중형,북서,11,370
2019년 02월 20일 15시,120,14.6,140,955,40,144,350,강,중형,북서,9,480
2019년 02월 20일 21시,0,4.9,152.6,985,27,97,280,중,소형,서,22,null
2019년 02월 20일 21시,24,7.1,149,970,35,126,320,강,중형,서북서,19,110
2019년 02월 20일 21시,48,9.5,145,950,43,155,350,강,중형,서북서,22,170
2019년 02월 20일 21시,72,11.6,142.4,950,43,155,360,강,중형,북서,16,260
2019년 02월 20일 21시,96,13.3,141.1,955,40,144,370,강,중형,북서,10,370
2019년 02월 20일 21시,120,15.2,140,960,39,140,350,강,중형,북북서,10,480
2019년 02월 21일 03시,0,5.7,151.6,980,29,104,300,중,중형,북서,24,null
2019년 02월 21일 03시,24,7.7,148,965,37,133,330,강,중형,서북서,19,110
2019년 02월 21일 03시,48,10.1,144.2,950,43,155,350,강,중형,서북서,21,170
2019년 02월 21일 03시,72,12.2,141.8,950,43,155,360,강,중형,북서,15,260
2019년 02월 21일 03시,96,13.8,140.8,955,40,144,370,강,중형,북서,9,370
2019년 02월 21일 03시,120,15.6,140.2,960,39,140,350,강,중형,북북서,9,480
2019년 02월 21일 09시,0,6.1,150.5,975,32,115,330,중,중형,서북서,21,null
2019년 02월 21일 09시,24,8.3,146.9,970,35,126,350,강,중형,서북서,20,110
2019년 02월 21일 09시,48,10.9,143.5,945,45,162,370,매우 강,중형,북서,20,170
2019년 02월 21일 09시,72,12.7,141.7,950,43,155,360,강,중형,북서,12,260
2019년 02월 21일 09시,96,14.3,140.9,955,40,144,350,강,중형,북북서,8,370
2019년 02월 21일 09시,120,16,140.3,960,39,140,340,강,중형,북북서,8,480
2019년 02월 21일 15시,0,6.5,149.7,970,35,126,350,강,중형,서북서,17,null
2019년 02월 21일 15시,24,9.1,146.1,955,40,144,370,강,중형,북서,21,110
2019년 02월 21일 15시,48,11.8,143.1,945,45,162,380,매우 강,중형,북서,18,170
2019년 02월 21일 15시,72,13.5,141.5,950,43,155,360,강,중형,북서,11,260
2019년 02월 21일 15시,96,15.1,141,955,40,144,350,강,중형,북북서,8,370
2019년 02월 21일 15시,120,16.7,140.8,960,39,140,340,강,중형,북,7,480
2019년 02월 21일 21시,0,6.7,148.7,970,35,126,350,강,중형,서북서,19,null
2019년 02월 21일 21시,24,10,144.8,960,39,140,360,강,중형,북서,23,110
2019년 02월 21일 21시,48,12.3,142.5,950,43,155,370,강,중형,북서,15,170
2019년 02월 21일 21시,72,13.9,141.3,955,40,144,360,강,중형,북서,9,260
2019년 02월 21일 21시,96,15.4,140.9,960,39,140,350,강,중형,북북서,7,370
2019년 02월 21일 21시,120,16.8,140.7,965,37,133,330,강,중형,북,7,480
2019년 02월 22일 03시,0,7.4,148,970,35,126,350,강,중형,북서,18,null
2019년 02월 22일 03시,24,10.4,144.3,960,39,140,360,강,중형,북서,22,110
2019년 02월 22일 03시,48,12.7,142,950,43,155,370,강,중형,북서,15,170
2019년 02월 22일 03시,72,14.2,141.2,955,40,144,350,강,중형,북북서,8,260
2019년 02월 22일 03시,96,15.5,140.9,960,39,140,330,강,중형,북북서,6,370
2019년 02월 22일 03시,120,16.8,140.9,965,37,133,320,강,중형,북,6,480
2019년 02월 22일 09시,0,8.2,146.8,960,39,140,380,강,중형,서북서,27,null
2019년 02월 22일 09시,24,11,143.6,955,40,144,390,강,중형,북서,20,110
2019년 02월 22일 09시,48,13.1,141.7,950,43,155,400,강,중형,북서,13,170
2019년 02월 22일 09시,72,14.6,141.1,955,40,144,390,강,중형,북북서,7,260
2019년 02월 22일 09시,96,15.9,140.9,965,37,133,350,강,중형,북,6,370
2019년 02월 22일 09시,120,16.5,141,975,32,115,320,중,중형,북북동,3,480
2019년 02월 22일 15시,0,9.2,146.2,960,39,140,380,강,중형,북북서,21,null
2019년 02월 22일 15시,24,11.6,143,950,43,155,400,강,중형,북서,18,110
2019년 02월 22일 15시,48,13.5,141.5,955,40,144,390,강,중형,북서,11,170
2019년 02월 22일 15시,72,14.9,141,960,39,140,380,강,중형,북북서,7,260
2019년 02월 22일 15시,96,16.2,140.9,975,32,115,340,중,중형,북,6,370
2019년 02월 22일 15시,120,16.7,141,985,27,97,320,중,중형,북북동,2,480
2019년 02월 22일 21시,0,10,145,955,40,144,380,강,중형,서북서,26,null
2019년 02월 22일 21시,24,12.1,142.5,950,43,155,400,강,중형,북서,15,110
2019년 02월 22일 21시,48,13.9,141.3,955,40,144,380,강,중형,북서,10,170
2019년 02월 22일 21시,72,15.3,140.8,965,37,133,360,강,중형,북북서,7,260
2019년 02월 22일 21시,96,16.4,140.7,980,29,104,330,중,중형,북,5,370
2019년 02월 22일 21시,120,17.2,140.4,992,23,83,300,약,중형,북북서,4,480
2019년 02월 23일 03시,0,10.1,144,955,40,144,380,강,중형,서,18,null
2019년 02월 23일 03시,24,12.6,142.1,955,40,144,380,강,중형,북서,14,110
