일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2018년 11월 17일 18시,0,10.8,110.1,1004,18,65,170,약,소형,서,18,null
2018년 11월 17일 18시,24,10.6,108.2,1004,18,65,170,약,소형,서,9,110
2018년 11월 17일 18시,48,10,105.3,1006,14,50,0,-,-,서남서,14,0
2018년 11월 17일 21시,0,10.8,109.8,1004,18,65,170,약,소형,서,11,null
2018년 11월 17일 21시,24,10.5,108,1004,18,65,170,약,소형,서,8,110
2018년 11월 17일 21시,48,9.8,105,1006,14,50,0,-,-,서,14,0
2018년 11월 18일 03시,0,10.8,109.1,1004,18,65,170,약,소형,서,13,null
2018년 11월 18일 03시,24,10.3,107.3,1004,18,65,170,약,소형,서남서,9,110
2018년 11월 18일 03시,48,9.6,104.5,1006,14,50,0,-,-,서남서,13,0
2018년 11월 18일 09시,0,10.9,108.6,1004,18,65,150,약,소형,서북서,9,null
2018년 11월 18일 09시,24,10.3,106.4,1008,15,54,0,-,-,서남서,10,0
2018년 11월 18일 15시,0,11.1,108.7,1006,15,54,0,-,-,북북동,4,null
