일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2012년 06월 12일 15시,0,9.5,142.7,1004,18,65,120,약,소형,서남서,19,0
2012년 06월 12일 15시,24,10.7,139.7,998,20,72,150,약,소형,서북서,15,150
2012년 06월 12일 15시,48,11.9,136.1,990,24,86,200,약,소형,서북서,17,250
2012년 06월 12일 15시,72,13.9,132.5,980,31,112,250,중,소형,서북서,19,400
2012년 06월 12일 15시,96,16.3,129,970,36,130,300,강,중형,북서,19,550
2012년 06월 12일 15시,120,20.1,126.4,970,36,130,300,강,중형,북서,21,700
2012년 06월 12일 21시,0,9.6,141.9,1002,18,65,120,약,소형,서,15,0
2012년 06월 12일 21시,24,10.9,138.8,998,18,65,150,약,소형,서북서,15,150
2012년 06월 12일 21시,48,12.2,135.4,990,24,86,200,약,소형,서북서,17,250
2012년 06월 12일 21시,72,14.2,132,980,31,112,250,중,소형,서북서,18,400
2012년 06월 12일 21시,96,16.8,128.8,970,36,130,300,강,중형,북서,19,550
2012년 06월 12일 21시,120,20.6,126.9,970,36,130,300,강,중형,북북서,19,700
2012년 06월 13일 03시,0,9.4,141.1,1002,18,65,120,약,소형,서남서,15,0
2012년 06월 13일 03시,24,10.6,137.8,992,22,79,170,약,소형,서북서,16,150
2012년 06월 13일 03시,48,12.5,133.9,985,27,97,230,중,소형,서북서,20,250
2012년 06월 13일 03시,72,14.7,130,980,31,112,250,중,소형,서북서,20,400
2012년 06월 13일 03시,96,17.8,126.8,970,36,130,300,강,중형,북서,20,550
2012년 06월 13일 03시,120,21.1,124.7,975,34,122,280,강,소형,북북서,18,700
2012년 06월 13일 09시,0,9.4,140.6,1002,18,65,120,약,소형,서,9,0
2012년 06월 13일 09시,24,11,136.7,992,22,79,170,약,소형,서북서,19,150
2012년 06월 13일 09시,48,12.8,133,985,27,97,230,중,소형,서북서,19,250
2012년 06월 13일 09시,72,15.6,129,975,34,122,250,강,소형,북서,22,400
2012년 06월 13일 09시,96,18.8,126.1,970,36,130,300,강,중형,북서,20,550
2012년 06월 13일 09시,120,21.9,124.3,975,34,122,280,강,소형,북북서,16,700
2012년 06월 13일 15시,0,10,139.3,1000,18,65,150,약,소형,서북서,26,0
2012년 06월 13일 15시,24,11.4,135.6,990,24,86,200,약,소형,서북서,18,150
2012년 06월 13일 15시,48,13.4,131.7,985,27,97,230,중,소형,서북서,20,250
2012년 06월 13일 15시,72,16.2,128,975,34,122,280,강,소형,북서,21,400
2012년 06월 13일 15시,96,19.8,125.2,970,36,130,300,강,중형,북서,21,550
2012년 06월 13일 15시,120,22.2,124,975,34,122,280,강,소형,북북서,12,700
2012년 06월 13일 21시,0,10.6,138,1000,18,65,150,약,소형,서북서,26,0
2012년 06월 13일 21시,24,12.2,134.1,985,27,97,230,중,소형,서북서,19,150
2012년 06월 13일 21시,48,14.4,130.2,975,34,122,280,강,소형,서북서,20,250
2012년 06월 13일 21시,72,17.1,127,965,38,137,330,강,중형,북서,19,400
2012년 06월 13일 21시,96,20.6,125.1,965,38,137,330,강,중형,북북서,18,550
2012년 06월 13일 21시,120,23.1,124.7,970,36,130,300,강,중형,북,12,700
2012년 06월 14일 03시,0,10.8,136.7,992,22,79,180,약,소형,서,24,0
2012년 06월 14일 03시,24,12.8,133,980,31,112,250,중,소형,서북서,19,150
2012년 06월 14일 03시,48,15,129.4,970,36,130,300,강,중형,서북서,19,250
2012년 06월 14일 03시,72,17.8,126.8,965,38,137,330,강,중형,북서,17,400
2012년 06월 14일 03시,96,20.8,125.3,965,38,137,330,강,중형,북북서,15,550
2012년 06월 14일 03시,120,23.3,125.6,970,36,130,300,강,중형,북,11,700
2012년 06월 14일 09시,0,10.9,135.2,985,27,97,220,중,소형,서,27,0
2012년 06월 14일 09시,24,12.7,131.4,975,34,122,280,강,소형,서북서,19,150
2012년 06월 14일 09시,48,15.2,128.1,965,38,137,340,강,중형,북서,19,250
2012년 06월 14일 09시,72,18.1,126,960,40,144,350,강,중형,북서,16,400
2012년 06월 14일 09시,96,21,125.2,960,40,144,350,강,중형,북북서,14,550
2012년 06월 14일 09시,120,24.3,126,970,36,130,300,강,중형,북북동,15,700
2012년 06월 14일 15시,0,10.7,134.1,985,27,97,220,중,소형,서,20,0
2012년 06월 14일 15시,24,12.2,130.3,970,36,130,300,강,중형,서북서,19,150
2012년 06월 14일 15시,48,15.1,127.6,965,38,137,330,강,중형,북서,18,250
2012년 06월 14일 15시,72,18.2,125.8,960,40,144,350,강,중형,북북서,17,400
2012년 06월 14일 15시,96,21.8,125.1,960,40,144,330,강,중형,북,17,550
2012년 06월 14일 15시,120,26.4,126.9,975,34,122,300,강,중형,북북동,23,700
2012년 06월 14일 21시,0,10.7,132.8,985,27,97,220,중,소형,서,24,0
2012년 06월 14일 21시,24,12.3,129.9,970,36,130,300,강,중형,서북서,15,150
2012년 06월 14일 21시,48,15.3,127.5,965,38,137,330,강,중형,북서,17,250
2012년 06월 14일 21시,72,18.8,125.7,960,40,144,350,강,중형,북북서,18,400
2012년 06월 14일 21시,96,23.3,126,965,38,137,330,강,중형,북,21,550
