일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2009년 08월 04일 03시,0,21.2,135.5,992,22,79,350,약,중형,북서,6,0
2009년 08월 04일 03시,24,22.9,133.7,990,24,86,350,약,중형,북서,12,150
2009년 08월 04일 03시,48,24.6,131,985,27,97,380,중,중형,서북서,14,250
2009년 08월 04일 03시,72,25.8,127.9,980,31,112,400,중,중형,서북서,15,400
2009년 08월 04일 09시,0,21.7,135.9,992,18,65,350,약,중형,북동,12,0
2009년 08월 04일 09시,24,22.8,134,985,23,83,380,약,중형,서북서,10,150
2009년 08월 04일 09시,48,24.3,130.4,980,28,101,400,중,중형,서북서,17,250
2009년 08월 04일 09시,72,25.5,128,970,33,119,450,강,중형,서북서,12,400
2009년 08월 04일 15시,0,22.2,135.4,990,20,72,380,약,중형,북서,13,0
2009년 08월 04일 15시,24,23.2,133.1,980,25,90,400,중,중형,서북서,11,150
2009년 08월 04일 15시,48,24.7,129.4,975,30,108,420,중,중형,서북서,18,250
2009년 08월 04일 15시,72,26,125.3,965,35,126,450,강,중형,서북서,19,400
2009년 08월 04일 21시,0,22.5,134.6,985,27,97,400,중,중형,서북서,15,0
2009년 08월 04일 21시,24,23.6,131.8,975,34,122,450,강,중형,서북서,13,150
2009년 08월 04일 21시,48,24.8,128.7,970,36,130,500,강,대형,서북서,15,250
2009년 08월 04일 21시,72,26.2,124.5,965,38,137,550,강,대형,서북서,19,400
2009년 08월 05일 03시,0,22.5,133.6,980,31,112,420,중,중형,서,18,0
2009년 08월 05일 03시,24,23.6,130.5,975,34,122,450,강,중형,서북서,15,150
2009년 08월 05일 03시,48,24.9,127.1,970,36,130,500,강,대형,서북서,16,250
2009년 08월 05일 03시,72,26.5,123.1,965,38,137,550,강,대형,서북서,19,400
2009년 08월 05일 09시,0,22.6,133.3,975,34,122,450,강,중형,서북서,6,0
2009년 08월 05일 09시,24,23.7,130.6,970,36,130,470,강,중형,서북서,13,150
2009년 08월 05일 09시,48,25.7,125.7,960,40,144,550,강,대형,서북서,23,250
2009년 08월 05일 09시,72,26.6,122,960,40,144,550,강,대형,서북서,16,400
2009년 08월 05일 15시,0,22.6,132.1,970,36,130,500,강,대형,서,21,0
2009년 08월 05일 15시,24,24.3,126.9,950,43,155,650,강,대형,서북서,24,150
2009년 08월 05일 15시,48,25.5,123.2,940,46,166,650,매우 강,대형,서북서,17,250
2009년 08월 05일 15시,72,26.9,118.9,980,31,112,300,중,중형,서북서,20,400
2009년 08월 05일 21시,0,22.9,131.1,970,36,130,600,강,대형,서북서,18,0
2009년 08월 05일 21시,24,23.7,125.9,950,43,155,650,강,대형,서,23,150
2009년 08월 05일 21시,48,24.3,122.5,935,48,173,650,매우 강,대형,서,15,250
2009년 08월 05일 21시,72,26.2,119.5,970,36,130,300,강,중형,서북서,16,400
2009년 08월 06일 03시,0,23.1,129.3,960,39,140,650,강,대형,서,29,0
2009년 08월 06일 03시,24,24.1,124,930,46,166,650,매우 강,대형,서,23,150
2009년 08월 06일 03시,48,25.4,122,950,40,144,500,강,대형,서북서,11,250
2009년 08월 06일 03시,72,26.2,119,970,30,108,400,중,중형,서북서,14,400
2009년 08월 06일 09시,0,23.4,128.3,960,40,144,650,강,대형,서북서,18,0
2009년 08월 06일 09시,24,24.5,123.7,925,51,184,700,매우 강,대형,서북서,21,150
2009년 08월 06일 09시,48,25.4,121.2,940,46,166,600,매우 강,대형,서북서,12,250
2009년 08월 06일 09시,72,26.5,118.9,970,36,130,450,강,중형,서북서,11,400
2009년 08월 06일 15시,0,23.3,126.4,960,40,144,650,강,대형,서,28,0
2009년 08월 06일 15시,24,24.5,122.8,930,50,180,670,매우 강,대형,서북서,17,150
2009년 08월 06일 15시,48,25.6,120.5,950,43,155,600,강,대형,서북서,11,250
2009년 08월 06일 15시,72,26.8,118.8,975,34,122,450,강,중형,북서,9,400
2009년 08월 06일 21시,0,23.4,125.4,960,40,144,650,강,대형,서,18,0
2009년 08월 06일 21시,24,24.3,122.4,945,45,162,700,매우 강,대형,서북서,14,150
2009년 08월 06일 21시,48,25.7,119.9,970,36,130,500,강,대형,서북서,13,250
2009년 08월 06일 21시,72,28.2,118.7,990,24,86,300,약,중형,북북서,13,400
2009년 08월 07일 03시,0,23.4,124,960,40,144,650,강,대형,서,24,0
2009년 08월 07일 03시,24,24.6,121,960,40,144,600,강,대형,서북서,14,150
2009년 08월 07일 03시,48,26.4,119,975,34,122,450,강,중형,북서,12,250
2009년 08월 07일 03시,72,28.7,118.4,990,24,86,300,약,중형,북북서,11,400
2009년 08월 07일 09시,0,23.7,123.1,960,40,144,650,강,대형,서북서,15,0
2009년 08월 07일 09시,24,24.9,120.8,965,38,137,550,강,대형,서북서,12,150
2009년 08월 07일 09시,48,27,119,975,34,122,450,강,중형,북서,13,250
2009년 08월 07일 09시,72,29,118.3,990,24,86,300,약,중형,북북서,10,400
2009년 08월 07일 15시,0,23.4,122,965,38,137,600,강,대형,서남서,20,0
2009년 08월 07일 15시,24,25.2,120.5,970,36,130,500,강,대형,북서,11,150
2009년 08월 07일 15시,48,27.1,118.9,985,27,97,400,중,중형,북서,12,250
2009년 08월 07일 15시,72,29.1,118.2,995,20,72,250,약,소형,북북서,10,400
2009년 08월 07일 21시,0,23.8,121.7,955,41,148,550,강,대형,북북서,6,0
2009년 08월 07일 21시,24,25.2,120.2,970,36,130,500,강,대형,북서,10,150
2009년 08월 07일 21시,48,26.6,118.8,985,27,97,400,중,중형,북서,9,250
2009년 08월 07일 21시,72,28.4,118,995,20,72,250,약,소형,북북서,9,400
2009년 08월 08일 03시,0,24.3,121.6,960,40,144,550,강,대형,북북서,10,0
2009년 08월 08일 03시,24,25.9,119.6,975,34,122,480,강,중형,북서,12,150
2009년 08월 08일 03시,48,27.1,118.6,990,24,86,350,약,중형,북서,7,250
2009년 08월 08일 03시,72,29.2,117.9,1000,-1,-4,0,-,-,북북서,11,0
2009년 08월 08일 09시,0,24.7,121.6,965,36,130,500,강,대형,북,8,0
2009년 08월 08일 09시,24,25.9,119.4,980,30,108,450,중,중형,서북서,11,150
2009년 08월 08일 09시,48,28.9,118.7,994,21,76,320,약,중형,북북서,15,250
2009년 08월 08일 09시,72,31.6,118.6,1000,-1,-4,0,-,-,북,13,0
2009년 08월 08일 15시,0,25.1,120.7,970,36,130,470,강,중형,서,11,0
2009년 08월 08일 15시,24,26.8,119.8,985,24,86,420,약,중형,북북서,9,150
2009년 08월 08일 15시,48,29.2,119.6,996,-1,-4,0,-,-,북,12,0
2009년 08월 08일 21시,0,25.1,120.3,970,36,130,470,강,중형,서,7,0
2009년 08월 08일 21시,24,27,119.6,985,27,97,420,중,중형,북북서,10,150
2009년 08월 08일 21시,48,29.5,119.4,996,-1,-4,0,-,-,북,12,0
2009년 08월 09일 03시,0,25.1,120,970,36,130,470,강,중형,서,6,0
2009년 08월 09일 03시,24,27.1,119.6,985,27,97,420,중,중형,북,10,150
2009년 08월 09일 03시,48,29.7,119.7,996,-1,-4,0,-,-,북,13,0
2009년 08월 09일 09시,0,26,120,975,34,122,400,강,중형,북,17,0
2009년 08월 09일 09시,24,27.5,119.6,990,24,86,300,약,중형,북북서,8,150
2009년 08월 09일 09시,48,30.2,119.7,998,-1,-4,0,-,-,북,13,0
2009년 08월 09일 15시,0,26.3,120,975,34,122,400,강,중형,북,6,0
2009년 08월 09일 15시,24,28.9,119.7,992,22,79,300,약,중형,북,13,150
