일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2013년 10월 21일 03시,0,10.8,160.8,1000,18,65,200,약,소형,북서,10,0
2013년 10월 21일 03시,24,13,157.6,990,24,86,240,약,소형,북서,18,140
2013년 10월 21일 03시,48,15.9,153.1,980,31,112,280,중,소형,서북서,24,230
2013년 10월 21일 03시,72,18.9,148.4,970,36,130,320,강,중형,서북서,25,320
2013년 10월 21일 03시,96,22.2,144.9,960,40,144,360,강,중형,북서,22,460
2013년 10월 21일 03시,120,26.7,145,960,40,144,360,강,중형,북,21,550
2013년 10월 21일 09시,0,11.3,160.7,996,19,68,210,약,소형,북북서,9,0
2013년 10월 21일 09시,24,14,156.9,985,27,97,250,중,소형,북서,22,140
2013년 10월 21일 09시,48,17,152.1,975,34,122,300,강,중형,서북서,25,230
2013년 10월 21일 09시,72,19,147.3,965,38,137,340,강,중형,서북서,23,320
2013년 10월 21일 09시,96,22.9,143.6,955,41,148,370,강,중형,북서,24,460
2013년 10월 21일 09시,120,28.7,144.1,955,41,148,370,강,중형,북,27,550
2013년 10월 21일 15시,0,12.2,160.7,990,24,86,230,약,소형,북,17,0
2013년 10월 21일 15시,24,14.6,156.6,975,34,122,280,강,소형,서북서,22,140
2013년 10월 21일 15시,48,17.4,151.8,960,40,144,340,강,중형,서북서,25,230
2013년 10월 21일 15시,72,20,146.3,955,41,148,360,강,중형,서북서,27,320
2013년 10월 21일 15시,96,24.8,144.1,950,43,155,380,강,중형,북북서,24,460
2013년 10월 21일 15시,120,30.6,145.8,960,40,144,340,강,중형,북북동,28,550
2013년 10월 21일 21시,0,13.1,160.1,980,31,112,250,중,소형,북북서,20,0
2013년 10월 21일 21시,24,16.4,154.9,965,38,137,300,강,중형,북서,27,140
2013년 10월 21일 21시,48,18.9,149.7,955,41,148,350,강,중형,서북서,26,230
2013년 10월 21일 21시,72,21.6,145.2,950,43,155,380,강,중형,서북서,23,320
2013년 10월 21일 21시,96,27.2,144.8,955,41,148,360,강,중형,북,26,460
2013년 10월 21일 21시,120,32.8,150.6,965,38,137,340,강,중형,북동,35,550
2013년 10월 22일 03시,0,14.1,159.3,980,31,112,320,중,중형,북서,23,0
2013년 10월 22일 03시,24,18,153.5,965,38,137,370,강,중형,북서,32,140
2013년 10월 22일 03시,48,20.3,148.4,955,41,148,400,강,중형,서북서,25,230
2013년 10월 22일 03시,72,24.1,144.9,945,45,162,430,매우강,중형,북서,23,320
2013년 10월 22일 03시,96,30.2,146.4,955,41,148,370,강,중형,북북동,29,460
2013년 10월 22일 03시,120,36.8,156.1,970,36,130,300,강,중형,북동,48,550
2013년 10월 22일 09시,0,15.1,158.2,970,36,130,320,강,중형,북서,27,0
2013년 10월 22일 09시,24,18.5,153.1,965,38,137,350,강,중형,서북서,27,140
2013년 10월 22일 09시,48,21.2,147.8,955,41,148,400,강,중형,서북서,26,230
2013년 10월 22일 09시,72,24.8,144.8,945,45,162,430,매우강,중형,북서,21,320
2013년 10월 22일 09시,96,30.9,146.7,960,40,144,360,강,중형,북북동,29,460
2013년 10월 22일 09시,120,36.3,156.7,975,34,122,300,강,중형,동북동,46,550
2013년 10월 22일 15시,0,16.3,156.8,950,43,155,350,강,중형,북서,33,0
2013년 10월 22일 15시,24,19.4,151.6,945,45,162,380,매우강,중형,서북서,27,140
2013년 10월 22일 15시,48,22.1,146.2,940,47,169,400,매우강,중형,서북서,27,230
2013년 10월 22일 15시,72,26.6,145.4,945,45,162,380,매우강,중형,북,21,320
2013년 10월 22일 15시,96,33.3,150.7,970,36,130,330,강,중형,북동,38,460
2013년 10월 22일 15시,120,36.1,161.1,990,24,86,300,약,중형,동북동,42,550
2013년 10월 22일 21시,0,17.1,155.4,940,47,169,350,매우강,중형,서북서,29,0
2013년 10월 22일 21시,24,20.3,149.8,930,50,180,380,매우강,중형,서북서,27,140
2013년 10월 22일 21시,48,23.1,145.9,930,50,180,380,매우강,중형,북서,21,230
2013년 10월 22일 21시,72,29.5,146.9,940,47,169,350,매우강,중형,북,30,320
2013년 10월 22일 21시,96,34.6,154.3,975,34,122,300,강,중형,북동,37,460
