일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2004년 06월 23일 15시,0,16.7,142.8,995,17,61,220,약,소형,서북서,10,null
2004년 06월 23일 15시,24,17.7,140.3,990,23,83,null,약,null,null,null,150
2004년 06월 23일 15시,48,18.5,137.1,980,30,108,null,중,null,null,null,250
2004년 06월 23일 15시,72,19.5,133.7,null,null,null,null,null,null,null,null,400
2004년 06월 24일 09시,0,16.9,140,985,28,101,300,중,중형,서,19,null
2004년 06월 24일 09시,24,17.5,137.1,975,33,119,null,강,null,null,null,150
2004년 06월 24일 09시,48,17.3,134.2,965,37,133,null,강,null,null,null,250
2004년 06월 24일 09시,72,17.9,131.5,null,null,null,null,null,null,null,null,400
2004년 06월 25일 09시,0,15.1,135.2,980,28,101,330,중,중형,서,11,null
2004년 06월 25일 09시,24,15.8,130.8,975,30,108,null,중,null,null,null,150
2004년 06월 25일 09시,48,16.7,127.1,965,36,130,null,강,null,null,null,280
2004년 06월 25일 09시,72,18.2,123.9,null,null,null,null,null,null,null,null,410
2004년 06월 26일 09시,0,15,131.1,980,28,101,410,중,중형,서,25,null
2004년 06월 26일 09시,24,16,127.9,970,35,126,null,강,null,null,null,150
2004년 06월 26일 09시,48,16.9,125.9,965,37,133,null,강,null,null,null,250
2004년 06월 26일 09시,72,18.1,123.5,null,null,null,null,null,null,null,null,400
2004년 06월 27일 09시,0,16.1,129,980,28,101,450,중,중형,북서,11,null
2004년 06월 27일 09시,24,17.3,126.3,965,36,130,null,강,null,null,null,150
2004년 06월 27일 09시,48,18.4,124.4,960,39,140,null,강,null,null,null,250
2004년 06월 27일 09시,72,19.2,122.7,null,null,null,null,null,null,null,null,400
2004년 06월 28일 09시,0,18.2,126,950,41,148,600,강,대형,북서,11,null
2004년 06월 28일 09시,24,19.1,123.8,940,44,158,null,매우강,null,null,null,150
2004년 06월 28일 09시,48,19.8,122.1,950,41,148,null,강,null,null,null,250
2004년 06월 28일 09시,72,21,120.8,null,null,null,null,null,null,null,null,400
2004년 06월 29일 09시,0,18.8,124.1,940,46,166,600,매우강,대형,서,3,null
2004년 06월 29일 09시,24,19.6,122.5,940,46,166,null,매우강,null,null,null,150
2004년 06월 29일 09시,48,20.8,121.8,950,40,144,null,강,null,null,null,250
