일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2004년 07월 14일 09시,0,20.9,124.7,998,18,65,190,약,소형,서북서,19,null
2004년 07월 14일 09시,24,21.5,122.2,996,21,76,null,약,null,null,null,150
2004년 07월 14일 09시,48,22.3,121.1,996,21,76,null,약,null,null,null,280
2004년 07월 14일 09시,72,23.6,119.6,null,null,null,null,null,null,null,null,410
2004년 07월 15일 09시,0,19.6,118.9,992,23,83,280,약,소형,서,20,null
2004년 07월 15일 09시,24,20.8,115.2,990,26,94,null,중,null,null,null,150
2004년 07월 15일 09시,48,24,113,null,null,null,null,null,null,null,null,280
2004년 07월 16일 09시,0,21.2,115.2,996,21,76,280,약,소형,서,13,null
2004년 07월 16일 09시,24,24.7,112.9,null,null,null,null,null,null,null,null,150
2004년 07월 16일 21시,0,23,114,1002,null,null,null,null,null,북,30,null
