일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2015년 03월 12일 03시,0,6.6,168.5,998,19,68,200,약,소형,서남서,10,0
2015년 03월 12일 03시,24,8.5,163.3,990,24,86,250,약,소형,서북서,25,140
2015년 03월 12일 03시,48,10.8,156.5,985,27,97,300,중,중형,서북서,33,230
2015년 03월 12일 03시,72,12.1,150.4,980,29,104,320,중,중형,서북서,28,320
2015년 03월 12일 03시,96,13.1,143.9,975,32,115,350,중,중형,서,30,460
2015년 03월 12일 03시,120,13.4,139,980,29,104,320,중,중형,서,22,550
2015년 03월 12일 09시,0,7.2,166.7,998,19,68,200,약,소형,서북서,35,0
2015년 03월 12일 09시,24,9.2,161.5,990,24,86,250,약,소형,서북서,25,140
2015년 03월 12일 09시,48,11.1,155.1,985,27,97,300,중,중형,서북서,30,230
2015년 03월 12일 09시,72,12.8,149.4,980,29,104,320,중,중형,서북서,27,320
2015년 03월 12일 09시,96,13.9,144.5,985,27,97,300,중,중형,서북서,22,460
2015년 03월 12일 09시,120,14.8,138.5,985,27,97,300,중,중형,서,27,550
2015년 03월 12일 15시,0,7.8,166.2,994,21,76,250,약,소형,북서,14,0
2015년 03월 12일 15시,24,8.7,160.2,985,27,97,300,중,중형,서,28,140
2015년 03월 12일 15시,48,11.5,153.5,980,29,104,320,중,중형,서북서,33,230
2015년 03월 12일 15시,72,13,148.2,975,32,115,330,중,중형,서북서,25,320
2015년 03월 12일 15시,96,13.9,142.8,985,27,97,300,중,중형,서,25,460
2015년 03월 12일 15시,120,14.4,137,990,24,86,270,약,소형,서,26,550
2015년 03월 12일 21시,0,8.2,163.7,994,21,76,280,약,소형,서,46,0
2015년 03월 12일 21시,24,10.6,159,985,27,97,300,중,중형,서북서,27,140
2015년 03월 12일 21시,48,13,152,980,29,104,350,중,중형,서북서,34,230
2015년 03월 12일 21시,72,13.9,146.9,980,29,104,320,중,중형,서,23,320
2015년 03월 12일 21시,96,14.6,141.2,985,27,97,300,중,중형,서,26,460
2015년 03월 12일 21시,120,14.5,134.6,985,27,97,300,중,중형,서,29,550
2015년 03월 13일 03시,0,8.5,162.2,990,24,86,290,약,소형,서북서,28,0
2015년 03월 13일 03시,24,11.3,156.6,985,27,97,300,중,중형,서북서,29,140
2015년 03월 13일 03시,48,13,150.6,980,29,104,370,중,중형,서북서,29,230
2015년 03월 13일 03시,72,13.9,144.9,985,27,97,320,중,중형,서,26,320
2015년 03월 13일 03시,96,14.5,139.5,990,24,86,290,약,소형,서,24,460
2015년 03월 13일 03시,120,14.9,134.5,990,24,86,290,약,소형,서,23,550
2015년 03월 13일 09시,0,8.7,160.7,990,24,86,290,약,소형,서,28,0
2015년 03월 13일 09시,24,11.6,154.6,985,27,97,300,중,중형,서북서,31,140
2015년 03월 13일 09시,48,14,148.6,980,29,104,350,중,중형,서북서,29,230
2015년 03월 13일 09시,72,14.1,143,985,27,97,330,중,중형,서,25,320
2015년 03월 13일 09시,96,14.5,136.9,990,24,86,280,약,소형,서,28,460
2015년 03월 13일 09시,120,14.8,131.4,994,21,76,200,약,소형,서,24,550
2015년 03월 13일 15시,0,8.9,159.5,990,24,86,270,약,소형,서,22,0
2015년 03월 13일 15시,24,11.9,153.4,985,27,97,320,중,중형,서북서,31,140
2015년 03월 13일 15시,48,13.6,147.1,980,29,104,350,중,중형,서북서,30,230
2015년 03월 13일 15시,72,13.7,140.8,985,27,97,300,중,중형,서,29,320
2015년 03월 13일 15시,96,14,135,990,24,86,250,약,소형,서,26,460
2015년 03월 13일 15시,120,14.8,129.4,994,21,76,230,약,소형,서,25,550
2015년 03월 13일 21시,0,9.5,158.3,990,24,86,270,약,소형,서북서,25,0
2015년 03월 13일 21시,24,12.1,152.3,980,29,104,350,중,중형,서북서,30,140
2015년 03월 13일 21시,48,13.3,145.7,985,27,97,330,중,중형,서,31,230
2015년 03월 13일 21시,72,13.4,139.5,990,24,86,300,약,중형,서,28,320
2015년 03월 13일 21시,96,13.8,133.9,992,23,83,270,약,소형,서,25,460
2015년 03월 13일 21시,120,14.5,129.2,994,21,76,230,약,소형,서,21,550
2015년 03월 14일 03시,0,10.5,157.4,985,27,97,350,중,중형,북서,25,0
2015년 03월 14일 03시,24,13.5,150.7,980,29,104,400,중,중형,서북서,34,140
2015년 03월 14일 03시,48,13.6,144.3,985,27,97,350,중,중형,서,29,230
2015년 03월 14일 03시,72,13.8,137.7,990,24,86,300,약,중형,서,30,320
2015년 03월 14일 03시,96,14.3,132.5,992,23,83,250,약,소형,서,24,460
2015년 03월 14일 03시,120,15.1,128.2,994,21,76,200,약,소형,서,20,550
2015년 03월 14일 09시,0,11.6,155.2,985,27,97,350,중,중형,서북서,45,0
2015년 03월 14일 09시,24,14.4,149.3,975,32,115,400,중,중형,서북서,30,140
2015년 03월 14일 09시,48,14.2,142.8,980,29,104,350,중,중형,서,30,230
