일시,,위도(N),경도(E),중심기압,초속(m/s),시속(km/h),강풍반경(km)[예외반경],강도,크기,진행방향,이동속도(km/h),70% 확률 반경(km)
2012년 08월 08일 09시,0,31.4,159.5,996,19,68,200,약,소형,북서,18,0
2012년 08월 08일 09시,24,34.2,155.8,998,18,65,180,약,소형,북서,19,150
2012년 08월 08일 09시,48,41.2,153.8,1002,-1,-4,0,-,-,북북서,33,0
2012년 08월 08일 15시,0,31.8,158.3,996,19,68,200,약,소형,서북서,20,0
2012년 08월 08일 15시,24,35.2,154.4,998,18,65,180,약,소형,북서,22,150
2012년 08월 08일 15시,48,41.4,150.4,1002,-1,-4,0,-,-,북북서,32,0
2012년 08월 08일 21시,0,32.7,156.7,996,19,68,200,약,소형,서북서,30,0
2012년 08월 08일 21시,24,35.9,153.5,998,18,65,180,약,소형,북서,19,150
2012년 08월 08일 21시,48,42.9,148.2,1004,-1,-4,0,-,-,북서,38,0
2012년 08월 09일 03시,0,33.1,156.3,996,19,68,200,약,소형,북서,10,0
2012년 08월 09일 03시,24,37.5,151.7,998,18,65,180,약,소형,북서,27,150
2012년 08월 09일 03시,48,45.5,147.6,1004,-1,-4,0,-,-,북북서,40,0
2012년 08월 09일 09시,0,34.2,155.6,996,19,68,200,약,소형,북북서,23,0
2012년 08월 09일 09시,24,40.5,150.2,1000,-1,-4,0,-,-,북서,35,0
2012년 08월 09일 15시,0,36,154.3,992,22,79,200,약,소형,북서,39,0
2012년 08월 09일 15시,24,42.1,149.2,1000,-1,-4,0,-,-,북서,34,0
2012년 08월 09일 21시,0,37.1,153,992,22,79,200,약,소형,북서,28,0
2012년 08월 09일 21시,24,44.1,147.9,1000,-1,-4,0,-,-,북서,37,0
2012년 08월 10일 03시,0,38.9,152,992,22,79,200,약,소형,북북서,36,0
2012년 08월 10일 03시,24,46.3,147.1,1000,-1,-4,0,-,-,북북서,38,0
2012년 08월 10일 09시,0,41.4,149.7,994,-1,-4,0,-,-,북서,57,0
